event_name,event_location,event_content,participant,event_date,event_time
新竹縣客家迎天穿系列活動,新埔鎮,新埔花燈歷史最古，也最具特色及代表性，過去新埔迎花燈分街頭、街尾，以火炬、大鼓陣、燈籠、麒麟、獅、象、錦閣，加上花燈詩句、行動劇、化妝踩街，相互讚賞或諷刺，來反映當時社會型態與風土民情，而花燈詩句全用客語，實為客家文學之珍寶。新埔花燈遊行可考於昭和時期，並於民國99年（西元2010年）風華重現，讓新埔居民重新感受「花燈的故鄉」之情懷，凝聚新埔居民的向心力，尋回新埔傳統價值。新竹縣客家迎天穿系列活動串聯新埔傳統價值及縣內各鄉鎮市，打造具創新特色的「客家日」觀光活動，並於活動規劃中向下紮根，教育並傳承客家精神，期能揭開傳統手藝花燈製作的神秘面紗，同時打響「北天燈、南烽炮、會移動的花燈在新埔」名號，歷年的表演節目除兼顧客家傳統文化大戲及歌曲，同時規劃國際性表演團體如日本夜來祭 HONIYA YOSAKOI、重慶市銅梁火龍，讓趣味十足的新埔花燈及新竹縣迎天穿活動能夠遠近馳名。,,2022/2/13,02:09
苗栗龍系列活動,苗栗火車站西站廣場,「火旁」是客家話「炸」的意思，「火旁龍」就是在神龍舞動時燃放鞭炮，讓神龍在炮陣中騰躍的情境就像行雲駕霧般，越火旁越旺。「苗栗火旁龍」是苗栗地區最熱鬧有趣的元宵節慶活動，早期是從迎龍慶典演變而來的，分為糊龍、牽龍、祥龍點睛、迎龍、火旁龍、跈龍以及化龍返天等七部曲。苗栗火旁龍自民國88年（西元1999年）開始辦理迄今，明年即將邁入第24週年，火旁龍科儀結合了農耕文化的信仰和客家民俗工藝之美，歷經數十載社會轉型的過程，文化傳承和價值觀的轉變，因此我們在每年活動內容力求兼顧到傳統與創新，除了前述的七部曲架構活動內容以外，在民國110年（西元2021年）度首次客製化企製專屬苗栗限定節目「火旁龍映象-定幕劇」，結合聲光、影像，彙整一齣以龍為主角的劇碼，讓龍隊表演除了在街頭巷弄迎龍拜年外，也能登上劇院形式的藝術表演殿堂。另外同年首次大規模的舞龍廟埕巡演，則是承襲民間習俗典故而來，採跨鄉、鎮、市共同行銷之方式舉辦，因爲我們堅信唯有強構文化底蘊，才能流傳久遠。活動日程    111年2月5日-2月6日 祥龍巡庄    地點：南庄鄉、頭份市、大湖鄉、公館鄉    111年2月8日-2月17日 客家龍神壇    地點：苗栗火車站西站    111年2月9日 09:00-12:30 祥龍點睛、貓裏客家龍競技、神龍陣祈福    地點：苗栗市玉清宮    111年2月11日 18:00-22:00 民俗踩街     地點：苗栗市區    111年2月12日 17:00-21:30 龍之夜    地點：苗栗市經國路河濱公園    111年2月17日 21:00-24:00 化龍返天    地點：苗栗市嘉盛五文昌廟,,2022/2/16,08:17
三義木雕藝術節系列活動,廣盛村廣聲新城88號,三義木雕藝術節系列活動，強調木雕藝術傳承的使命感。除了木藝慢活嘉年華現場活動以動態藝表演、木雕表演、木藝體驗、文創市集、慢城旅遊、茶席等系列活動，營造親子、互動、熱鬧氛圍，塑造三義慢城獨特木雕藝術文化形象「木雕」為三義最具代表性的傳統文化特色，木雕藝術發展蓬勃，透過木雕技藝與形式的延續，讓經典成為永恆。透過節慶活動營造城市品牌意象，融合傳統工藝文化、表演藝術展出，表現地方獨特風采，同時串聯在地社區成為三義居民共同的生活記憶，形塑三義最具國際化與代表性的藝術文化。    國際木雕藝術交流展：7/18-10/23    臺灣國際木雕競賽作品展： 8/05-10/23    木藝慢活嘉年華：10/15-16、10/22-23,,2022/10/13,01:16
苗栗通霄白沙屯拱天宮媽祖民俗文化系列活動,白東里8號,苗栗縣通霄鎮拱天宮「白沙屯媽祖進香」活動為本縣一年一度民俗盛事，具有百年以上歷史，不僅歷史悠久、規模盛大，每年均有來自全國各地居民熱情參與徒步到北港朝天宮進香，全程近400公里，縱跨中部4縣市，因其進香日期與路程皆由媽祖神轎指引進行，無法事先預估且為全台路線最遠的徒步進香民俗活動，因其深具傳統性及特殊性，於民國97年登錄為本縣無形文化資產，更於民國99年（西元2010年）獲文化部指定為國家重要民俗祭儀，也在民國102年（西元2013年）被選為內政部「台灣宗教百景」之一。    放頭旗    農曆4月17日 子時    國曆5月16日（星期一）23點00分    登轎    農曆4月20日 丑時    國曆5月20日（星期五）1點15分    出發    農曆4月20日 丑時    國曆5月20日（星期五）2點15分    到北港    農曆4月22日    國曆5月22日（星期日）約中午11點前後抵達北港北辰派出所    進火    農曆4月23日 子時    國曆5月23日（星期一）00點15分    回宮    農曆4月27日 申時    國曆5月27日（星期五）15點05分    開爐    農曆5月9日 丑時    國曆6月7日（星期二）1點20分,,2022/6/1,11:34
臺中國際踩舞嘉年華,臺中市民廣場,「臺中國際踩舞嘉年華」藉由舞蹈表演之推廣，結合節慶活動，建立運動觀光與藝術文化交流平臺，促進臺灣本土文化藝術人士與海外各國多元藝術表演團體交流合作，把臺中城市公園化為戶外舞台，創造話題亮點並打造獨特觀光特色意象，凸顯舞蹈嘉年華成為臺中的觀光盛會品牌活動。,,2022/10/1,10:42
臺中爵士音樂節,臺中市市民廣場,臺中爵士音樂節，以自由即興的風格展現多元的音樂型式，呼應臺中市輕鬆、悠閒的都會生活文化特色，不但為臺中市營造令人印象深刻的文化生活氛圍，吸引民眾參與戶外藝術休閒活動，更帶動週邊商業與休閒旅遊產業的發展，透過逐年累積交流成果及活動效益，使本項活動逐漸成為臺中市最具吸引力的國際文化節慶活動，並成為和東京、曼谷、首爾等城市並列的亞洲四大爵士音樂節之一。,,2022/10/21,07:12
鹿港慶端陽系列活動,福鹿溪龍舟會場,「鹿港慶端陽系列活動」，以行銷鹿港古蹟、人文、工藝、文化、美食等在地特色為主軸，為臺灣觀光年曆國際級的節慶活動之一，中臺灣端午節最重要的觀光活動，自從鹿港陸續榮獲「微笑之鄉」、「臺灣十大觀光小城」、「臺灣經典小鎮」等殊榮後，「鹿港慶端陽系列活動」更是聲名大噪、國際聞名。中臺灣只有鹿港舉辦國際龍舟錦標賽，透過國內外選手組隊參與龍舟競賽，凝聚團隊向心力，已經成為國內外遊客及彰化縣鄉親年年期待的端午嘉年華節慶；鹿港以文化、體育和觀光來進行城市交流，以龍舟賽、鹿港民俗節慶活動、鹿港小鎮光影藝術等方式來歡渡端午佳節，展現鹿港的傳承與活力，遊客們能盡情徜徉文化古蹟之美，遊憩市集美食之旅，感受鹿港小鎮的熱情魅力。    龍王祭(龍舟下水典禮)：5/8    慶端陽：6/3~6/5    小鎮光影藝術節：6/2~7/17,,2022/5/23,11:43
二水國際跑水節,林先生廟,「二水跑水節」為全國特有的水圳節慶活動，西元1719年彰化縣因八堡圳開鑿完成，得以引濁水溪水潤養彰化平原，而使彰化縣開發成為農業大縣。為敬天謝地及感懷先人德澤，在這個深具歷史文化意涵的「八堡圳」舉辦跑引水活動，傳揚歷經十年開鑿八堡圳的辛勞，展現不輕易放棄的毅力，是「台灣精神」最有力的表現，其意義也在推崇「飲水思源」、「食果子拜樹頭」的美德。每年11月進入秋收冬藏之際，在八堡圳舉辦一系列祈福活動，結合二水文化、跑水體驗、山海線農特產品、國際城鄉交流等，注入更多文化觀光元素，並行銷二水鄉的觀光特色，活化農村經濟，結合運動休閒及農特產，為活動注入文化創意活水，更讓二水國際跑水節提昇國際能見度。,,2022/11/6,12:00
北港燈會,北港朝天宮,北港人在媽祖的搖籃中孕育成長，歷年元宵盛典朝天宮迎媽祖更猶如北港人的第二次過年，民國54年（西元1965年）在北港朝天宮舉辦了第一屆元宵節花燈展，更帶動全國燈會熱潮，每年以北港鎮為立基，整體鄉鎮區域為主體進行規畫及活動辦理。,,2022/2/18,09:04
南投星空季,清境農場,每年7/20至8/20左右登場的「英仙座流星雨」，是年度三大流星雨之一，台灣即將在8/13迎來極大期，預估當日凌晨3至4點甚至可觀賞到近百顆流星從天空劃過！民眾欲觀賞這場精彩可期的流星雨，可選擇低光害、空中無遮蔽物的地點，如南投合歡山、日月潭、溪頭、杉林溪等，皆是海拔高、視野遼闊、低光害汙染的絕佳觀星旅遊景點。其中合歡山國際暗空公園更可以說是全台最友善的高海拔觀星景點。活動自民國106年（西元2017年）起舉行，原僅於清境地區進行高山觀星音樂會活動。民國108年（西元2019年）合歡山暗空公園認證通過後，南投縣政府為擴大行銷觀星旅遊資源，以分流概念於活動期間，在南投各地舉辦觀星及音樂會活動。主要舉辦地點包含清境地區、暗空公園範圍（鳶峰停車場）以及溪頭等地。各活動場次請至活動官網查詢,,2022/9/3,02:12
高山茶都-嘉義博茶會,中埔鄉農會金蘭分部,嘉義的茶文化產業豐富且興盛，阿里山茶葉更是為國內外所盛讚的經典茗茶，與茶產業共生共長的還有深厚的茶文化涵養，結合嘉義縣精緻工藝與豐美農特產，讓遊客滿載而歸。嘉義縣除了傑出的茶文化產業引人入勝外，本活動亦結合本縣豐饒的農特產品、得天獨厚的優美景觀、珍貴精緻的工藝品，多元且全面的展現嘉義縣的優質條件，吸引各地旅客再三來訪。,,2022/12/13,02:26
東石海之夏,東石漁人碼頭,「東石海之夏」作為嘉義縣暑期濱海觀光指標性活動，以濱海觀光與歡樂親子遊為主題，包含流行音樂演唱會、特色產業 DIY、親子活動等，鎖定全國暑假親子家庭與青少年旅遊客群，結合嘉義夏日外傘頂洲踏浪、東石布袋吃海鮮觀海景之獨特濱海遊程，打造暑假親子戲水及年輕族群玩樂打卡熱點活動，每年都吸引上萬名遊客來嘉享受濱海旅遊，持續帶動嘉義沿海東石、布袋相關產業觀光收益。,,2022/8/10,09:04
阿里山日出印象音樂會,阿里山國家森林遊樂區 祝山觀日平臺（停機坪）,阿里山是國內外知名觀賞日出的旅遊勝地的，「阿里山日出印象音樂會」自民國91年（西元2002年）底由交通部觀光局阿里山國家風景區管理處、行政院農業委員會林務局嘉義林區管理處及嘉義縣政府共同輪流主辦，今年已邁入第20年，是臺灣最具特色的高山音樂會，以高海拔、高品質、高格調的「高三」音樂會為活動目標，讓國內外遊客沉浸在悠揚樂曲中，迎接新年第一道曙光的首選活動；活動串聯大阿里山地區周邊旅遊路線，將日出印象主題特色與活動產品深化，提升觀光產值。活動時間：年1月1日 05:30~07:30,,2022/1/1,12:00
嘉義市光織影舞-光影藝術展,北香湖公園,為增加嘉義市夜間觀光亮點，吸引旅客在嘉義市住宿及消費，本府於民國109年（西元2020年）10月1日起至11月1日（橫跨中秋及國慶連假）首次舉辦「2020嘉義市光織影舞-光影藝術展」，活動結合嘉義市城市人文特色及在地文化，以四季與中秋節（全國地表最大月亮）為主題，設置7件光影藝術裝置，營造陸（園區走道、草地）、水（北香湖湖水倒影）、空（樹林）氛圍之光影造景環境意象，並搭配精心安排的特色表演活動（如無人機煙火燈光秀、雷射投影及管樂表演燈光秀等），吸引全國及國際旅客來嘉義市駐留體驗,,2022/9/8,06:49
臺南市國際龍舟錦標賽,臺南運河（安億橋至承天橋）,本活動乃結合臺灣傳統節慶習俗水上運動競賽發展而來，深具地方文化的代表性，是臺南極具特色的文化觀光活動。臺南市也是臺灣龍舟競渡的重要發源地，比賽前後循古禮舉行請水神、送水神、祭江，及封江儀式，相當別具意義。每年的國際龍舟錦標賽均廣邀國內外遊客熱情參加，是臺南市固定舉辦之重大節慶之一。民國101年（西元2012年）的參賽隊伍更高達179隊，打破歷年來參與龍舟錦標賽的輝煌紀錄，盛況空前。臺南市是兼具活力與文化氣息的城市，來臺南看龍舟比賽、品美食、品文化古都新臺南，感受道地濃濃的人情味，歡慶端午佳節。,,2022/6/1,12:42
月津港燈節,月津港,月津港燈節是臺灣眾多燈會中，唯一獲得德國紅點設計大獎、被譽為全臺最藝術、最有質感的燈節。月津港燈節以「一府、二鹿、三艋舺、四月津」的臺南鹽水月津港作為展覽場域，特色在於藉由整治完成的月津港地景環境，結合地方豐厚文化內涵與創新藝術，邀請國內外藝術團隊以當地湖面、水岸景致來襯托藝術燈飾，營造令人驚豔的獨特燈節意象，更有如孕育新銳藝術家的交流平台。活動期間，每到黃昏，五顏六色的藝術燈飾開啟時，月津港呈現一片璀璨亮麗，有如夜之美術館，照耀在河面上，遊客穿梭於河岸旁，充滿著夢幻浪漫氛圍。藉由燈區結合河面燈光倒影，將河景、地貌、建築製作而成奇幻、詩意、飄渺的空間，參觀人潮屢創新高，「月津港燈節」已形塑其活動品牌與知名度，為臺南市最重要的文化活動之一。,,2022/1/28,12:01
高雄燈會藝術節,愛河兩岸（高雄橋至七賢橋）,在愛河高雄橋至七賢橋兩岸周邊場域熱鬧舉辦，用「雙春閏月、贏金抱喜、迎向國際、愛與幸福」打造每一場主題活動；各式燈區將呈現出高雄西岸的海港風情、東側的山林雅致、迎新曙（鼠）光、人文薈萃，呈現出全面向，專屬於高雄的城市軌跡；期間還有精彩的主題之夜：「開幕秀之夜」、「高空秀之夜」、「踩舞秀之夜」、「馬戲秀之夜」、「亂打秀之夜」、「歌仔戲之夜」、「歌舞秀之夜」和「夜光秀之夜」，精心邀請了適合好友、情侶、全家大小一起觀賞的國內、外知名演出，邀請全國民眾新年走春來高雄，創造回味一整年的精采回憶。※年高雄燈會藝術節相關活動以「台灣燈會」為主。,,2022/2/25,12:01
高雄左營萬年季,左營孔廟,每年10月中旬在左營蓮池潭登場的萬年季活動，自民國90年（西元2001年）舉辦至今已邁入第20年，運用左營獨有天然景觀（蓮池潭及周邊林立的寺廟）、結合特殊民情風俗（攻炮城、迓火獅）等在地因素規劃而成，由於活動設計極具地方特色，每年吸引許多參觀人潮，已發展成為本市重要民俗文化觀光節慶活動。,,2022/10/7,06:34
屏東落山風藝術季,海口港看海美術館,「落山風之吹風看海地」，位於車城鄉海口港，包含看海美術館、待(呆)・風樓及沙灘歇腳站共三館及週邊廣場綠帶，藝術季以其為根據地以藝術經營地方，建立「屏東縣落山風風景特定區」文化品牌，構建地方風格、活絡社區進而豐富恆春半島之觀光內涵。屏東落山風藝術季以車城海口港「落山風之吹風看海地」及旁邊沙灘為主要場地，已辦理2屆，以大型藝術裝置及表演活動形式，展現風與地方之特色，且今年7月看海美術館推出首檔展覽「春江獸月夜」更獲得國內媒體高度關注與報導，網路討論聲量高，將為12月藝術季帶來更多關注與觀賞人次。,,2022/11/8,05:22
屏東黑鮪魚文化觀光季,東隆宮,黑鮪魚季自民國90年（西元2001年）起迄今已邁入第20年舉辦，歷年結合農漁及觀光產業，成功打造「黑鮪魚文化觀光季在屏東」的國家品牌節慶活動，考量近年升溫之海洋資源枯竭、生態保育等議題，將回歸辦理之初衷，規劃感恩收穫─第一鮪拍賣會、開幕晚會、在地美食推廣、在地小旅行等系列活動，促進當地經濟效益、創造行銷話題！活動透過節慶氛圍營造、文化意象型塑、分眾行銷、串連地方參與、交通旅遊服務等方向，結合本縣自然景觀資源、農漁特產文化，創造周邊產業之經濟效益，以突顯屏東的獨特產業、文化觀光潛力、漁村文化精神與海洋資源永續發展，使屏東縣的發展從傳統的農業邁入「精緻美食、休閒旅遊與文化藝術」三位一體的觀光旅遊新紀元。,,2022/5/29,09:39
宜蘭國際童玩藝術節,親河路二段2號,"民國85年（西元1996年）迄今，童玩節已經舉辦了20屆，在每年暑假，已成為國人期待的大型文化活動。民國90年（民國2001年）度開始更獲選為觀光局所推薦的「十二大地方節慶活動」之一。民國101年（西元2012年）度更獲選為交通部觀光局2012「台灣觀光年曆」觀光活動，成為觀光局國際推廣行銷的亮點之一；更由於童玩節所堅持之創意、服務品質之訴求，民國99年獲得了「國際民俗藝術節協會」( CIOFF&reg; )認證為國際民俗藝術節協會之國際藝術節(CIOFF&reg; International Festival)，亞洲第一個以「兒童」為主題獲得認證的民俗藝術節，民國103年（西元2014年）獲得天下雜誌「金牌服務大賞」之殊榮。童玩節自創辦迄今，累積已超過1,031萬人次曾共同參與童玩節文化饗宴。優質的生活空間搭配各項大型活動，將成為發展觀光產業最寶貴的資產；宜蘭縣更建立了一套完整的旅遊資訊網絡，讓縣民共同參與觀光資源的經營及利益，擴大宜蘭「健康」、「智慧」、「永續」的觀光發展效益。宜蘭國際童玩藝術節以「酷樂宜夏」為題，「時空探索」為主軸，透過科技、探索、創新等元素，邀請民眾今年夏天輕輕鬆鬆暢遊宜蘭童玩節，一同跨越時空探索、酷樂一夏。",,2022/7/18,08:18
花蓮夏戀嘉年華,鯉魚潭,花蓮夏戀嘉年華是花蓮一年一度的盛大音樂饗宴，歷年以大型演唱會舞台規格，廣邀國際性巨星與知名歌手登台演出。「只要一張到花蓮的車票，等同直通台北小巨蛋演唱會門票」，是全國具指標性的盛夏音樂節。夏戀嘉年華活動是暑假期間國人熟知且熱愛的節慶活動之一，也是知名巨星歌手、偶像團體的表演殿堂，不但引領整個亞洲流行音樂，更吸引國際友人及愛好流行音樂的朋友們，來到東台灣認識花蓮、愛上花蓮。為豐富活動節目內容，近年來也特別舉辦在地表演團體徵選活動，發掘花蓮表演新秀團隊，提供優秀表演者嶄露頭角的機會，並且有機會登上夏戀嘉年華大型舞台成為耀眼的「夏戀之星」，亦藉由徵選活動培養在地表演人才，也做為孕育流行音樂巨星的平台。,,2022/7/9,01:00
