event_name,event_location,event_content,participant,event_date,event_time
東石海之夏,東石漁人碼頭,「東石海之夏」作為嘉義縣暑期濱海觀光指標性活動，以濱海觀光與歡樂親子遊為主題,Alex-志,2022/8/10,09:04
阿里山日出印象音樂會,阿里山國家森林遊樂區 祝山觀日平臺（停機坪）,阿里山是國內外知名觀賞日出的旅遊勝地的，「阿里山日出印象音樂會」自民國91年（西元2002年）底由交通部觀光局阿里山國家風景區管理處、行政院農業委員會林務局嘉義林區管理處及嘉義縣政府共同輪流主辦,無,2022/1/1,12:00
嘉義市光織影舞-光影藝術展,北香湖公園,為增加嘉義市夜間觀光亮點，吸引旅客在嘉義市住宿及消費,無,2022/9/8,06:49
臺南市國際龍舟錦標賽,臺南運河（安億橋至承天橋）,本活動乃結合臺灣傳統節慶習俗水上運動競賽發展而來，深具地方文化的代表性,熟成醤油,2022/6/1,12:42
月津港燈節,月津港,月津港燈節是臺灣眾多燈會中，唯一獲得德國紅點設計大獎、被譽為全臺最藝術、最有質感的燈節。月津港燈節以「一府、二鹿、三艋舺、四月津」的臺南鹽水月津港作為展覽場域,無,2022/1/28,12:01
高雄燈會藝術節,愛河兩岸（高雄橋至七賢橋）,在愛河高雄橋至七賢橋兩岸周邊場域熱鬧舉辦，用「雙春閏月、贏金抱喜、迎向國際、愛與幸福」打造每一場主題活動；各式燈區將呈現出高雄西岸的海港風情、東側的山林雅致、迎新曙（鼠）光、人文薈萃,無,2022/2/25,12:01
高雄左營萬年季,左營孔廟,每年10月中旬在左營蓮池潭登場的萬年季活動，自民國90年（西元2001年）舉辦至今已邁入第20年,無,2022/10/7,06:34
屏東落山風藝術季,海口港看海美術館,「落山風之吹風看海地」，位於車城鄉海口港,無,2022/11/8,05:22
屏東黑鮪魚文化觀光季,東隆宮,黑鮪魚季自民國90年（西元2001年）起迄今已邁入第20年舉辦，歷年結合農漁及觀光產業,Kinoko,2022/5/29,09:39
宜蘭國際童玩藝術節,親河路二段2號,民國85年（西元1996年）迄今，童玩節已經舉辦了20屆,無,2022/7/18,08:18
花蓮夏戀嘉年華,鯉魚潭,花蓮夏戀嘉年華是花蓮一年一度的盛大音樂饗宴，歷年以大型演唱會舞台規格,un known,2022/7/9,01:00
花蓮紅面鴨FUN暑假,鯉魚潭,運用鯉魚潭特有的自然景觀，以花蓮觀光吉祥物紅面鴨於鯉魚潭展出,新手上路,2022/7/29,09:27
花蓮縣原住民族聯合豐年祭,花蓮縣德興運動場旁之大草坪,原住民族聯合豐年節已成為臺灣地區原住民族國際性活動，為永續發展並推廣、延續原住民族獨特的文化內涵及展演特色,無,2022/7/23,10:18
臺東最美星空系列活動,杉原海水浴場,臺東最美星空系列活動整體區分為三部份，分別為導遊培訓、導覽活動和最美星空音樂會。由於臺東地域地廣人稀,Antonio,2022/9/26,04:08
金門馬拉松,金門縣立田徑場,為提倡全民健康休閒活動，提升全民運動休閒風氣,思辰葉,2022/1/15,08:50
馬祖擺暝文化祭,僑仔村,擺暝文化為馬祖最具代表性的文化活動，極具獨特性,無,2022/2/13,03:10
北竿硬地超級馬拉松,北竿綜合運動場,「北竿硬地超級馬拉松」自民國106年（西元2017年）首度舉辦，由於地形陡峻起伏多變,無,2022/3/26,12:00
金門坑道音樂節,翟山坑道,本處擁有許多珍貴的戰役資源，尤因戰役挖鑿的各式坑道,cross,2022/10/15,12:30
雞籠中元祭,老大公廟,雞籠中元祭起源於西元1855年，從過往地方歷史事件發展至今,無,2022/8/7,10:28
經濟部商業司臺菜餐廳系列活動,星靚點花園飯店,為帶動我國餐飲產業發展，持續推廣並傳承臺菜文化,無,2022/10/20,12:00
鐵路便當節,北平西路3號,鐵路便當節為交通部臺灣鐵路管理局以便當會友，擴大邀約國際業者參與,傑森,2022/11/12,03:21
阿里山花季-櫻與音的對話,阿里山國家森林遊樂區,「櫻與音的對話」是宣告一年一度的阿里山花季正式開始，從3月至4月為期一個月的阿里山花季登場。花季開幕日辦「櫻與音的對話」開幕活動,是華哥不是華歌爾哦,2022/3/14,11:38
奔羊節,台14甲線7.5K-9.8K,清境農場溯自民國50年（西元1961年）農場草創已歷60寒暑，歷年來清境農場年度的生日慶典,無,2022/2/18,12:00
臺北白晝之夜,士林官邸公園,「Nuit Blanche 白晝之夜」是全球的夜間城市藝術祭，民國91年（西元2002年）創始於法國巴黎,無,2022/10/1,01:26
臺北馬拉松,臺北市市民廣場,臺北馬拉松自民國75年（西元1986年）首次舉辦，活動訂於每年12月第3週週日舉行,Derong Hong,2022/12/18,12:00
棲蘭越野節,力麗馬告生態園區（棲蘭、明池、神木園）,棲蘭林道是台灣最神秘的山徑之一，擁有珍稀的森林資源、豐富的生物多樣性和迷人的自然風光。在這裡舉辦的「棲蘭林道越野」,無,2022/9/17,12:00
武陵農場櫻花季,武陵農場,"武陵農場海拔高度位於1,740至2,200公尺間，自民國82年（西元1993年）開始種植櫻花樹至今約20餘載",沖田瓦,2022/2/13,11:59
 Taiwan PASIWALI Festival原住民族國際音樂節,華泰路300號,Taiwan PASIWALI Festival &mdash; 一場長達數十萬公里的南島之舟部落音樂旅程。PASIWALI是台灣原住民族阿美族語，往東方的意思,無,2022/10/22,04:07
世界客家博覽會,高鐵特定區（主展場）,「2023 世界客家博覽會」將是全球首次以客家文化為主題的國際性文化展會活動，融合世界在地客家文化,無,2023/8/15,06:42
臺北最HIGH新年城-跨年晚會,臺北市市民廣場,民國108年（西元2019年）國際知名媒體CNN將臺北跨年評為「全球十大跨年景點之一」，故以「一生必去 亞洲必遊」為活動目標及核心價值,無,2022/12/31,04:45
六堆秋收祭系列活動,信義路588號,客家人利用「春祈、夏耘、秋收、冬藏」大自然時序變化，來調整一年作息的生活方式,Hong Fly,2022/11/7,01:17
故宮親子童樂節,國立故宮博物院北部院區,為推動博物館友善化，以兒童與親子家庭為服務對象,無,2022/7/28,04:19
新北歡樂耶誕城,新北市市民廣場,新北歡樂耶誕城自民國100年（西元2011年）開辦以來，每年活動持續創新及與國際接軌,無,2022/12/25,10:28
草嶺古道芒花季,草嶺古道,為讓遊客欣賞大片芒花壯闊盛開之景，感受草嶺古道那段跨越百年山海時光長廊的記憶,AndyHuang,2022/11/24,10:42
新北市平溪天燈節,南山坪136號,新北市平溪天燈節自民國88年（西元1999年）辦理至今，多年來在地方與公部門共同努力下,Alice Cheng,2022/2/13,04:03
2023福隆迎曙光系列活動,外澳沙灘,福隆迎曙光系列活動為觀光局東北角暨宜蘭海岸國家風景區管理處與福容大飯店連鎖旅館事業共同主辦的活動。除結合福隆光環境之光影展演佈置及元旦凌晨4:00，在福隆海水浴場大草皮區邀請多組表演團體到場熱力,John,2022/12/31,03:53
東海岸運動觀光活動,秀姑巒溪遊客中心,東部海岸國家風景區北起花蓮溪口，南迄小野柳風景特定區,藍色小馬,2022/5/13,12:53
縱谷原遊會 部落食樂園,羅山遊客中心,「縱谷原遊會&mdash;部落食樂園」是結合在地部落體驗及行銷花東縱谷原住民多元多美食為主體的活動，亦為全國首創且規模最大部落食物體驗樂園。交通部觀光局花東縱谷國家風景區管理處自民國107年（西元2018年）起推動部落旅遊品牌「縱谷原遊會」,hao chang,2022/8/27,10:50
馬祖馬拉松,福澳運動場,馬祖是台灣的離島，與國內馬拉松場地比較,無,2022/11/5,12:00
觀音觀鷹-樂活行腳系列活動,觀音山遊客中心,觀音山位於淡水河西側，屬大屯火山群,無,2022/6/21,03:27
島嶼生活節,和平島公園,平島為北台灣最早躍進世界舞台的島嶼，從最早的平埔族原住民、西班牙人、荷蘭人後來的琉球王國人、日本人、福州人等,無,2022/8/27,04:56
阿里山四季茶旅活動,二延平步道,阿里山四季茶旅活動係藉由培訓在地茶旅達人、茶旅體驗環境氛圍營造及行銷推廣活動，推廣阿里山好茶及多元品茗情境；四季茶會活動以二十四節氣為主題,無,2022/11/15,06:25
一見雙雕藝術季,七股鹽山,「一見雙雕藝術季」活動是南臺灣每年暑假期間盛大的雕塑藝術展演活動，活動主要於臺南市七股區的七股鹽山、七股遊客中心及將軍區馬沙溝等地方,Bman,2022/7/9,06:29
南島族群婚禮,年暫停辦理,本處轄區位於高屏山麓，在轄管的6個鄉區中,人類惡,2022/3/27,09:14
南庄花卉節,南庄鄉,南庄鄉為國家級觀光旅遊休閒勝地，有「花園山城」美稱,無,2022/5/12,08:21
新社花海暨臺中國際花毯節,行政院農業委員會種苗改良繁殖場第二苗圃,新社花海暨臺中國際花毯節為中部地區最盛大的花卉慶典，逐年淬煉成為全臺首屈一指、具品牌知名度的花卉與休閒農業活動。推廣花卉產業是中臺灣的在地特色,阿兩,2022/12/6,08:09
田中馬拉松,景崧文化教育園區,「台灣米倉田中馬拉松 Taiwan's Rice Heaven－Tianzhong Marathon」自民國101年（西元2012年）開辦，打響國內外知名度,無,2022/11/13,12:00
雲林國際偶戲節,雲林布袋戲館,雲林縣政府每年舉辦「雲林國際偶戲節」與民眾共襄盛舉，以藝術與國際接軌。現今布袋戲也躍升台灣「國家意象」之代表,無,2022/9/30,08:29
日月潭國際萬人泳渡,日月潭,起始於民國72年（西元1983年）的日月潭國際萬人泳渡活動，每年中秋節前後舉辦,Fightinggrape,2022/9/18,06:45
南投世界茶業博覽會,中興新村 中興會堂,南投有八大茶區，更是台灣茶葉主要產地,無,2022/10/14,03:02
嘉義市國際管樂節,中央噴水池,嘉義市國際管樂節從1993年開始5校樂團表演的「音樂節」，逐漸擴大參與廣度,梁升豪,2022/12/23,08:18
台灣慶元宵-鹽水蜂炮,鹽水武廟,鹽水蜂炮，是元宵節轟動全台的重要觀光民俗活動。每年吸引觀光客人數,無,2022/2/15,12:00
臺灣國際蘭展,臺灣蘭花生物科技園區,一年一度的臺灣國際蘭展自民國94年（西元2005年）創辦至今，每年於臺南市後壁區臺灣蘭花生物科技園區舉辦,無,2022/3/26,03:55
高雄內門宋江陣,內門順賢宮,高雄內門宋江陣自民國90年（西元2001年）起開始舉辦，由高雄市政府及內門三大廟宇共同辦理,無,2022/3/26,06:13
宜蘭綠色博覽會,冬山河生態綠舟,宜蘭綠色博覽會於民國89年（西元2000年）創辦，初期以綠色生活、生態保育和友善農業作為活動主軸,#this#is#kota,2022/4/19,08:14
臺灣國際熱氣球嘉年華,鹿野高台,自民國100年（西元2011年）開辦熱氣球嘉年華以來，開啟了臺灣空域休閒遊憩活動的新契機,無,2022/7/28,11:19
臺灣國際衝浪公開賽,金樽遊憩區,臺灣四面環海，擁有豐沛的海洋資源,高雄阿猛,2022/11/12,03:46
金門中秋博狀元餅,清金門鎮總兵署,中秋博狀元餅活動在金門地區已是三百多年歷史的民俗文化活動，以科舉進程及追求人上人為博狀元餅遊戲之寄寓發展,無,2022/8/12,09:16
澎湖國際海上花火節,觀音亭親水遊憩區,澎湖國際海上花火節於觀音亭園區施放，美麗的煙火與得天獨厚的海灣環境、浪漫的西瀛虹橋相得益彰,Dore,2022/5/11,04:34
臺北時裝週,臺北表演藝術中心,為扶植時尚產業創新發展及提升我國時尚產業國際能見度與形象，共同推動時尚產業與影視音、藝術等產業跨界合作,無,2022/6/29,11:21
臺灣文化創意設計博覽會,高雄流行音樂中心,臺灣文博會於民國99年（西元2010年）首辦，至今無論於參展單位、參與國家數、觀展人次及所帶動的產業效益等,無,2022/8/5,06:34
台北國際書展,台北世界貿易中心展覽一館,書籍為民族文化積累的結晶，「台北國際書展」為台灣出版產業年度盛事,無,2022/6/5,07:44
西藏文化藝術節,臺灣戲曲中心,為展現臺灣是多元族群、多元文化的國家，文化部每年舉辦以「西藏文化藝術節」為主題之系列活動,邪惡的蛋糕,2022/9/6,05:29
 TIFA台灣國際藝術節,國家兩廳院,台灣國際藝術節（Taiwan International Festival of Arts，簡稱TIFA）為台灣一年一度最重要的藝術節慶、亞洲最具亮點的藝文盛會。國家表演藝術中心轄下國家兩廳院、臺中國家歌劇院、衛武營國家藝術文化中心共同舉辦,lady,2022/4/9,02:55
 Art Taipei 台北國際藝術博覽會,台北世界貿易中心展覽一館,ART TAIPEI 台北國際藝術博覽會，每年透過邀請海內外畫廊的參展,#this#is#kota,2022/10/22,02:57
客家桐花祭,暖暖東勢坑產業步道,客家桐花祭，以祭、生活美學（創作、表演、生活型態演示）、旅遊（桐花步道、小旅行、旅遊攻略）、產業（地方品牌-農產加工、手工藝品）及行銷（製作資源中心、季節紀念產品、桐花氣象、桐花祭夥伴）等五大面向轉型辦理,粗獷暖男,2022/5/15,05:43
東海岸大地藝術節暨月光・海音樂會,東部海岸國家風景區管理處轄區,東海岸大地藝術節（TECLandArt Festival）是交通部觀光局東部海岸國家風景管理處於2015年開始委託專業承辦，沿著台灣東海岸各地舉辦的藝術活動,黑羽望月,2022/7/18,03:19
菊島澎湖跨海馬拉松,西嶼西臺遊客中心,旅跑熱潮開始延燒吹動離島賽事崛起，也將成為馬拉松融入「運動觀光」及「旅跑概念」,無,2022/11/6,12:00
野柳石光-夜訪女王,野柳地質公園,野柳地質公園因獨特地質景觀與優質遊憩品質享譽國際，每年吸引大量國際旅客到訪,無,2022/4/22,04:10
鷹揚八卦-八卦山賞鷹活動,八卦山脈生態遊客中心,每年到了春天，灰面鵟鷹就會在三月到四月期間,無,2022/5/17,11:03
日月潭Come!BikeDay花火音樂嘉年華,水社碼頭,日月潭花火音樂嘉年華系列活動自民國97年（西元2008年）起舉辦，從初期的煙火、交響樂、鼓樂、舞蹈、藝文展覽,Kono Suba,2022/10/9,11:35
阿里山神木下婚禮,阿里山國家森林遊樂區-香林神木,「阿里山神木下婚禮」除聚焦主活動及貳部曲「阿里山星光下婚禮」，也將阿里山的美景、雋永的森林鐵路、千年屹立不搖的神木、傳統的鄒族文化及多元的在地產業推向國際舞台,Leonardo,2022/4/16,07:18
鯤鯓王平安鹽祭,南鯤鯓代天府,雲嘉南濱海區域內擁有臺灣獨特之鹽業歷史風光，以及廣大的沙洲、潟湖以及溼地景觀,無,2022/11/11,01:26
雙年賞蝶,茂林生態公園,茂林國家風景區位於高屏山區，長久以「紫蝶幽谷」特殊景象聞名國內外,離散傅立葉,2023/1/25,11:27
大鵬灣帆船生活節,濱灣碼頭,系列活動規劃了多元水域活動體驗及賽事，包含風帆橫渡小琉球全國錦標賽暨繞灣賽、獨木舟趣味競賽、龍舟賽、立式划槳比賽、水上摩托車比賽、創意環保船比賽、遊艇活動推廣暨周邊產業商品展、美食特展；整合當地觀光產業推出小鎮漫遊行程、套裝商品等,廖志,2022/4/15,10:42
台灣燈會,衛武營展區,※2023台灣燈會在台北(2023/2/5~2/19) 敬請期待台灣燈會影音專區 交通部觀光局為能將臺灣觀光旅遊形象推廣到世界，以吸引更多國外旅客來臺旅遊,eric@home:~$,2022/2/19,06:09
台灣美食展,台北世界貿易中心展覽一館,台灣美食展，從早期單純的食材與料理,無,2022/8/5,12:53
台灣仲夏旅遊節,馬沙溝濱海遊憩區,仲夏節是夏至來臨時的慶祝活動，在北歐是一個重要的節日。台灣自2014年開始推廣夏季旅遊活動,無,2022/7/12,07:08
台灣好湯-溫泉美食嘉年華,新北投溫泉區,時序逐漸進入冬天，也正式宣告臺灣已進入溫泉泡湯旺季！臺灣得天獨厚,無,2023/3/15,02:05
臺灣自行車旅遊節,澎湖國家風景區管理處,國片「練習曲」中一句經典對白：「有些事現在不做，一輩子都不會做了。」這句話帶動了全臺單車環島風潮,無,2022/4/19,04:58
長濱雙浪金剛馬拉松,臺東縣962長濱鄉,無,無,2022/5/1,11:20
秀姑巒溪國際泛舟鐵人三項競賽,花蓮縣978瑞穗鄉秀姑巒溪,無,richard,2022/6/12,03:26
月光．海音樂會,臺東縣961成功鎮都歷遊客中心,無,鄭世奇,2022/7/12,02:23
曙光歡樂送 就在東海岸,臺東縣961成功鎮三仙台遊憩區,無,南方工人,2022/5/11,03:47
童部野放,臺東縣950臺東市花東海岸轄區,無,Eddie_181,2022/5/18,05:18
東海岸部落工作假期,臺東縣950臺東市東海岸轄區部落,無,無,2022/2/25,02:14
成功小鎮漁村風情導覽,臺東縣961成功鎮成功小鎮,無,無,2022/5/24,09:29
馬到成功168自行車遊程,臺東縣950臺東市台11沿線,無,無,2022/5/24,06:41
花現東海岸導覽活動,花蓮縣974壽豐鄉花蓮遊客中心,無,無,2022/7/5,01:32
阿美族民俗中心-旮亙展演,臺東縣961成功鎮阿美族民俗中心,無,無,2022/8/14,09:39
月光小棧展演,臺東縣959東河鄉都蘭月光小棧,無,MLfu,2022/11/9,05:26
努瓦里岸文化劇場-paw paw鼓展演,臺東縣961成功鎮三仙台遊憩區努瓦里岸文化劇場,無,無,2022/9/17,03:18
過山古道尋寶趣,臺東縣951綠島鄉過山古道,無,無,2022/10/28,09:11
夜訪小野柳,臺東縣950臺東市小野柳環教小屋,無,無,2022/6/4,03:36
夜探三仙台,臺東縣961成功鎮三仙台遊憩區,無,無,2022/5/10,11:25
富岡港港好,臺東縣950臺東市富岡社區,無,無,2022/4/4,05:40
東海岸大地藝術節及藝文平台,臺東縣950臺東市花蓮臺東全線轄區,無,無,2022/2/17,05:46
菊島澎湖灣跨海馬拉松路跑活動,澎湖縣西嶼鄉外垵村1鄰1之15號,融合離島與澎湖特有的元素設計賽道路線，賽道沿途經西嶼、白沙、中屯及馬公本島,Car碼農,2022/11/6,11:18
台灣好湯活動,花蓮縣970花蓮市,無,無,2022/3/16,07:01
〝柚〞見〝晚崙西亞〞東河路跑,臺東縣959東河鄉隧道路88號,無,Fightinggrape,2022/3/26,10:29
臺東元宵節慶觀光活動,臺東縣950臺東市南京路園道,無,無,2022/2/14,03:15
馬卡巴嗨節慶觀光活動,臺東縣950臺東市,無,葉德瑞,2022/8/18,09:52
鹿野「花鹿米」養生樂活節,臺東縣955鹿野鄉,無,無,2022/7/3,06:30
池上秋收稻穗藝術節,臺東縣958池上鄉萬新道路,無,無,2022/10/29,05:13
年池上鄉原住民聯合豐年祭,臺東縣958池上鄉大坡池風景區,無,SHANG SIANG DAI,2022/8/13,06:40
111年花蓮年貨大街,花蓮縣970花蓮市香榭大道,無,Hong Fly,2022/1/27,06:45
好客藝術村春節市集活動,花蓮縣973吉安鄉中山路三段477號,無,無,2022/2/6,10:32
111年元宵節聯歡晚會,花蓮縣973吉安鄉客家文化廣場,無,無,2022/2/25,01:24
花蓮市全國客家日系列活動,花蓮縣970花蓮市復興街98巷1號,無,kaka,2022/2/19,07:11
大農大富賞螢趣,花蓮縣976光復鄉農場路31號,無,張義烽,2022/4/4,05:51
桐遊縱谷客家第一庄,花蓮縣973吉安鄉,無,D.H.,2022/4/12,04:42
鯉魚潭賞螢季-趣看火金姑,花蓮縣974壽豐鄉鯉魚潭,無,teapot,2022/5/8,10:31
縱谷原遊會—部落食樂園,花蓮縣983富里鄉羅山遊客中心,無,CS.Lee,2022/6/4,07:07
吉安鄉各部落捕魚祭(Miladis)活動,花蓮縣973吉安鄉,無,Kai,2022/6/13,02:36
吉安鄉原住民聯合豐年祭,花蓮縣973吉安鄉,無,Kevin Chu,2022/7/30,10:30
知卡宣綠森林親水暑期水上樂園,花蓮縣970花蓮市知卡宣綠森林親水公園,無,Leo_,2022/7/8,03:23
花蓮客家竹筍節,花蓮縣970花蓮市國慶里保民宮,無,佐冬塔天,2022/8/10,12:11
花蓮縣富里鄉111年聯合豐年節活動,花蓮縣983富里鄉東竹國小,無,Ruben Tsai,2022/8/4,01:30
花蓮金針山花季行銷活動,花蓮縣981玉里鎮赤柯山,無,無,2022/8/22,02:52
城市空間藝術節,花蓮縣970花蓮市香榭大道,無,無,2022/9/16,08:43
祭孔大典,花蓮縣973吉安鄉,無,Maji,2022/9/28,07:37
健走路跑活動,花蓮縣970花蓮市,無,冰塊(金屬?),2022/9/21,02:53
太平洋falifali音樂節,花蓮縣970花蓮市,無,HaooooYuan,2022/10/15,04:32
大地時裝秀,花蓮縣970花蓮市,無,Amano Kazuhira,2022/10/14,10:34
餐桌上的部落旅行,花蓮縣970花蓮市,無,無,2022/10/10,09:28
太魯閣峽谷音樂節,花蓮縣971新城鄉太魯閣臺地,無,Aaron,2022/10/22,11:48
鳳林鎮111年客家文化節系列活動,花蓮縣975鳳林鎮慢城公園,無,中林紫,2022/11/5,12:50
花蓮太平洋緃谷馬拉松,花蓮縣970花蓮市美崙田徑場,無,無,2022/12/3,03:14
花蓮市原客嘉年華,花蓮縣970花蓮市Kadda Hotel,無,佐冬塔天,2022/12/11,07:34
花東小鎮自行車漫旅,花蓮縣970花蓮市,無,無,2022/11/10,12:44
111年各部落豐年祭,花蓮縣970花蓮市,無,無,2022/8/2,03:36
111年延平鄉觀光射耳祭,臺東縣953延平鄉,無,無,2022/4/22,08:59
111年池上鄉元宵擔飯傳濃情踩街活動,臺東縣958池上鄉,無,Tom.Hsu,2022/2/15,09:19
悠活池上.米鄉竹筏季系列活動- 竹筏季節慶嘉年華,臺東縣958池上鄉大坡池風景區,無,masteralgorithm,2022/7/2,10:08
馬祖年度節慶活動 (Matsu Festival Activities),連江縣南竿鄉仁愛村95-1號,馬祖民俗節慶活動，最熱鬧的過年,無,2038/12/1,08:40
 日月潭櫻花季,南投縣555魚池鄉日月潭周邊轄區,無,Jarvis Hong,2022/2/25,08:23
日月潭星光螢火季,南投縣555魚池鄉日月潭轄區周邊,無,Atom,2022/4/12,04:48
日月潭櫻舞飛揚環湖路跑【活動取消】,南投縣555魚池鄉水社村中山路599號,無,Hina,2022/1/16,08:26
日月潭萬人泳渡嘉年華,南投縣555魚池鄉朝霧碼頭,無,嚴威,2022/9/4,03:43
日月潭Come!BikeDay花火音樂嘉年華,南投縣555魚池鄉,無,sam hoo,2022/10/9,02:51
日月潭婚禮【日月相映，情定日月潭】,南投縣555魚池鄉中山路599號,無,沖田瓦,2022/10/7,05:25
2023日月潭跨年晚會,南投縣540南投市,無,無,2022/12/31,06:34
日月潭Come!Bikeday自行車嘉年華,南投縣555魚池鄉中山路599號,無,無,2022/11/11,10:00
簡易弓幟手環DIY-南庄原住民族及在地手工藝品體驗DIY活動,353苗栗縣南庄鄉大同路43號,活動名稱：簡易弓幟手環DIY-南庄原住民族及在地手工藝品體驗DIY活動活動時間：111年2月1日(二)13:30-15:30活動地點：南庄遊客中心活動講師：林珍珠 工藝師&nbsp;&nbsp;為維護彼此的健康，提醒遊客出遊前請持續關注疫情變化,無,2022/2/1,02:19
年年有魚編織飾品DIY-獅頭山原住民族及在地手工藝品體驗DIY活動,353苗栗縣南庄鄉大同路43號,活動名稱：年年有魚編織飾品DIY-獅頭山原住民族及在地手工藝品體驗DIY活動活動時間：111年2月2日(三)13:30-15:30活動地點：南庄遊客中心活動講師：高千惠 工藝師&nbsp;&nbsp;為維護彼此的健康，提醒遊客出遊前請持續關注疫情變化,無,2022/2/2,02:05
新春揮毫,551南投縣名間鄉名松路二段181號,活動名稱：新春揮毫活動時間：111年1月16日(日)10:00-14:00活動地點：松柏嶺遊客中心&nbsp;為維護彼此的健康，提醒遊客出遊前請持續關注疫情變化,AndyHuang,2022/1/16,10:33
新春揮毫,353苗栗縣南庄鄉大同路43號,活動名稱：新春揮毫活動時間：111年1月21日(五)09:00-16:00活動地點：南庄遊客中心,無,2022/1/21,09:46
新春揮毫,500彰化縣彰化市卦山路13之7號,活動名稱：新春揮毫活動時間：111年1月23日(日)10:00-14:00活動地點：八卦山脈生態遊客中心(灰面鵟鷹主題館)&nbsp;為維護彼此的健康，提醒遊客出遊前請持續關注疫情變化,無,2022/1/23,12:46
伯公平安福香包DIY-南庄原住民族及在地手工藝品體驗DIY活動,353苗栗縣南庄鄉大同路43號,活動名稱：伯公平安福香包DIY-南庄原住民族及在地手工藝品體驗DIY活動活動時間：111年2月3日(四)13:30-15:30活動地點：南庄遊客中心活動講師：劉英華 工藝師&nbsp;&nbsp;為維護彼此的健康，提醒遊客出遊前請持續關注疫情變化,無,2022/2/3,02:01
環保茶香袋冰箱貼DIY-八卦山在地手工藝品體驗DIY活動,551南投縣名間鄉名松路二段181號,活動名稱：環保茶香袋冰箱貼DIY-八卦山在地手工藝品體驗DIY活動活動時間：111年2月1日(二)10:00-12:00活動地點：松柏嶺遊客中心(茶文化主題館)活動講師：林讌如 工藝師&nbsp;&nbsp;為維護彼此的健康，提醒遊客出遊前請持續關注疫情變化,無,2022/2/1,10:50
