subject,content,copy_recipient,recipient,sender
 館長怎麼了，好像很低潮？！,兩個原因，主因跟次因  主因：館長心理層面上有疾病（或是說次人格）  次因：鄭加唇這次發言太超過    我長期跟播館長  從臉書 圖奇 金剛 到Yt   館長他雖自稱吵架王 看似心理素質強悍抗性強  但仔細去觀察他經歷的每一次大事件  在吵到最激烈 社會討論度最高時  他會沒來由的陷入低潮  像是洩了氣的皮球  通常是在他深夜 譬如凌晨三點這時間直播上發生  放棄了整個世界一樣  數落自己就是爛 自己就是垃圾 就是的社會雜碎  相對於白天的強悍 完全是不同人設  消極性 悲觀 負面性發言   連這一次 看過他三次這樣  會不會在螢幕上被炎上的人物都是這樣  面對高強度的社會輿論批評討論  站在浪頭上所承受的心理壓力  不是我們一般人可以理解的   白天在鏡頭前看似強悍  到了晚上卸下武裝盔甲後  反常的潰縮成小嬰兒般的體弱   會不會其實每個人都這樣 ？？  只是館長被我們看到他這一面   再看到雞排妹這邊  她這言論是在傷口灑鹽  應該說再狠狠捅一刀  加唇不是一般人 她網路上有一定聲量  卻說這種話  我猜應該是壓垮駱駝的眾稻草之一吧    就好比被人強姦了  回家哭訴給村裡的人聽  某個鄰居出來指著你說  誰叫你要穿瑜珈褲  誰叫你要晚上出門  各種指責   大家都有過這種感受吧  明明自己是受傷的人  還被抓出來公審檢討   何況館長是被槍擊  卻被壓住抓不出真凶  館長能在鏡頭上坦到今天這局面  他已經是超強了  真男人       -- ,Chi,Jeffery Chao,_29 yoyo1103
 不婚不生連房都不買老了怎麼辦,餓死抬頭 現在都已經少子化了 你各位年薪三百萬起跳卻還只顧自己爽 寧可吃好穿好也不去認識未來老婆 甚至連買房促進經濟都不願意 沒人買經濟火車頭，經濟怎麼會好 以後老了國家哪有社福養你們 你們到底在想什麼，怎麼那麼沒遠見  乾五八卦  -- ,Sousuke、Alice Cheng,人類惡,莊豆油
 為什麼租屋沒推性平法？, 性平法都推蠻久了  工作就算了 為什麼房東刊登承租  還有在限制性別？  有的大學宿舍也都開始男女混居了  可是有性別岐視的房東不見罰責  之前還在吵同婚平權  可是連這種基本的性別岐視都不能落實  跟打假球有什麼不一樣？ ----- Sent from JPTT on my iPhone  -- ,D.H.,黑羽望月,嚴威
 日本足球動畫藍色監獄是不是很嘴砲, 為了搭上世界杯足球熱潮，Netflix 最近上架了一部日本動畫，名叫藍色監獄   還沒看的也不用左轉跳出，反正劇情大意就是  足球比賽要贏就是要有“超級前鋒”，所以邪會抓了300名高中生在藍色監獄裡互相廝殺，有點類似大逃殺、飢餓遊戲的設定，只是不見血，單純用球季對決  先撇除對話有點中二不說（會說我身體裡住了一頭怪獸，我知道你也有怪獸）  總覺得方向說不上來的怪，直到昨天看了日本對克羅埃西亞的PK賽，日本腳軟，4顆12碼球只進1球，才突然發現乾  有超級前鋒又怎麼樣，防守跟屎一樣還不是輸球哈哈  大家覺得人不認同？  看到日本跟南韓輸球就是爽啦  -- ,,阿浪,火龍果
 亞洲足球終究跨不過太平洋嗎？,小組賽時  還以為亞洲足球已經超越歐美  J聯盟也超車西甲英超德甲法甲  沒想到才進複賽第一場  就被看破手腳  12碼踢得比我阿嬤還爛  足球五大聯盟應該是  西甲>德甲=法甲=英超=blabla>>>>>>J聯  沒錯吧？  亞洲足球484終究跨不過太平洋？   -- ,火龍果、jun wang、狼狼&燐恩,chiu chiu,嵛燼
[新聞] 快訊／高雄毒品通緝犯隨身帶「爆裂物」！,去年三月的時候  台北才在林森北鬧區丟兩顆而已   世界怎麼跟得上台北  ,余余,台灣黑熊-Taiwan,Willy
美國不重視足球 還能進世界盃16強？,美國人的四大球類是橄欖球 冰上曲棍球 棒球 籃球，  美國人對於足球不是很重視，可是卻能進入世界盃16強，  反觀把足球當國球的德國……  有沒有八卦？  -- ,Re Re,人類惡,Re Re
 台灣一定有處男因為女生不夠多這樣合理,yoyo  我高雄城5啦  今年31  八卦處男  台灣女生就是那麼少  如果沒有人幫你們保持處男  這樣會導致你們這些人交不到女朋友  所以大家請多尊重一下身邊的處男好嗎  他們拯救了世界  有沒有八卦   -- 請支持,現在呢、Paul Chen,pocket355170,高皓愷
 我說那個「…」呢？, 我說那個醬汁… 那個礦業法、數位身分證、亞洲矽谷、CPTPP 、印太架構…？  下週五會不會太忙啊？ ----- Sent from JPTT on my iPhone  -- ,Jtao,金宇彬,YUHN Z
 金城武請進有事請教,當初嘲諷你是啦啦隊  然後還踹了你一腳  害你關禁閉  那個人現在過的怎樣？  你功成名就後有去嘲笑他嗎？  -- ,思辰葉、Kevin Chen、Kobe,生牛肉,Hao He
 跟女友交往滿周年要怎麼安排？,喵哈囉~~~~~~  我是Gura和虎鯨的男友  這是我女友沙花叉(虎鯨)  ,YuLung Chen,黑色睡蓮,HCKY
 客家老司機會讓人搭便車嗎,如題 很多沒車的人都想上車 ,,謝恵琪,楊皓渝
[新聞] 黃珊珊的下一步 用法律來服務市民,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,海陽、謝恵琪,TURN WANG,強襲爵士
 老婆不能娶聰明又能力強的？,我覺得啦，女人再怎麼聰明，能力再怎麼看起  來強，都有一個致命的缺陷:他們無法了解真  相，尤其是跟情感相關的事情，你的誠懇但或  許語調'用詞沒篩選過的話，都比不上渣男的  好聽但內容空洞的話或是廣告詞帶給她們  的衝擊，所以萬一他們職位比你高，或是專業  能力比你強，你就喪失話語權，要嗎跟別人一  樣虛假，要嗎委屈自己順從那奇特的價值觀  ，那愛情又算的了什麼? 韓劇的劇情??   -- ,,Amano Kazuhira,morenove
 不婚不生連房都不買老了怎麼辦,yoyo  我高雄城5啦  今年31  八卦處男  想那麼多幹嘛  或許我明天就掛了  (但還是處男)  我還思考老了以後  有沒有地方住?  人生太短了  不用想太多，該幹嘛就幹嘛  該歐印就是歐印  對了，人都會死   -- 請支持,可可顏、Draz,L337,雷恩里歐
 館長怎麼了，好像很低潮？！,人渣文本說過一段話  「支持者的嘴臉，就是在展示支持對象的態度。」 （大意是這樣啦）   今天館長要求限縮黑金，剷除黑金，連根拔除黑金  而妳的態度卻是警告他要穿防彈衣  就是告訴我們妳黨根本無意對付黑金 做做樣子而已     對了 小周在昨天上架，預錄的podcast說  DPP根本就還沒搞懂這次為什麼敗這麼慘 他們覺得是因為這次沒有釋出利多，沒有大紅包所以選民不支持 所以接下來可能會有一些大灑幣的政策  結果就真的放出10倍券的風聲想測風向  該說是蠢到太好預測嗎...  -- ,Willy、Jeffery Chao、Jtao,雷恩里歐,林資堯
 超商小妹記得我早上都買冰單品拿鐵了欸, 欸欸欸 被記住了怎麼辦  超商小妹剛結完我前面 就直接對著我講  "一樣冰單品拿鐵一杯嗎？"  ,沖田瓦、葉德瑞,蝦皮,點點
 不婚不生連房都不買老了怎麼辦,基本上會在八卦版問不婚不生的人會怎麼樣的  這種人很多自己也都沒婚沒生沒目標  所以他們就是在幫自己問問題  如果你已經結婚生小孩根本不會去擔心這個，也不會浪費時間上PTT問這個問題  如果你打算不婚不生但是已經規劃好的，也不會擔心這個問題   會問這個問題的人，就是在幫自己問然後看底下的推文怎麼回  你會看到一群魯蛇在底下推文，這時候發問的人就會感到一陣暖意感到我不孤單  對啦，他們就是要來取暖的   ,Jarvis Hong、Re Re、Brendan Wang,Paul Chen,沖田瓦
 館長怎麼了，好像很低潮？！,我也不知道  館長整天3公分  大家開開心心就好  沒事提什麼紅媒 房價 黑道這種議題幹嘛  這種除了顯示施政不力  但是對台灣未來長遠有正向影響的議題幹嘛  還被一些愛台的覺青  嗆說要被開槍要穿防彈衣出門  我也是不懂  這麼愛出風頭幹嘛  更不懂  台灣的民主和未來被這種嗆人被開槍的佔據版面  (笑  -- ,,EN EN,A7sHeNLe
[新聞] 貨車併排卸貨！女騎士閃避遭輾慘死　違停,看到重點了嗎？  女機車騎士沒有打方向燈就變換車道 是肇事主因  反而併排違停的貨車是次因  所以大家記得打方向燈喔^^  -- ,陳永陽、beradzeroking、davin0330,嚴威,陳永陽
 作弊VS演王,    在高張力的環境下  作弊跟演戲   哪一個會走得長久呢?   是不是演戲才是最重要的?  作弊終究只是一時的  要能瞞過裁判才是功力?  --  ,L337、lin amis,林阿鋒,Hao He
 違停現在在幹嘛,如題  違停公子現在在幹什麼東西  還有在搭捷運嗎？有沒有隨身攜帶學生證   我大違停公子現在在哪高就    有沒有這方面的卦  穴穴  -- ,,蔡林翰,萊恩
[新聞] 《芝麻街》鮑勃麥格拉斯人生謝幕 享耆壽9,1.媒體來源: ,YKX _、陈和文、lin amis,神奇鹿,刀渣版世雄
 台男的評價 比台女高吧?,yoyo  我高雄澎魚雁啦  剛剛看到YT  ,Rafina、lin amis,太菲鴨,HE HE
 童乳巨顏,超常聽到童顏巨乳  明明貧乳大餅臉也有市場  卻很少聽到童乳巨顏  有推薦的童乳巨顏系的YouTuber嗎？  ,,Ti an,凱
 會自稱小妹的都是什麼人,我記得好幾年前 在別版或在網外 有人開頭自稱"小女子" 然後就被網酸爆!  現在自稱小妹也是很多雷  所以呀、所以呀、「真女生」到底要自稱什麼？  -- ,,張義烽,楊正彥
[新聞] 影／新北雨衣怪客持刀當街攔機車 疑吸,備註請放最後面 違者新聞文章刪除  1.媒體來源: 聯合新聞網   2.記者署名: 林昭彰   3.完整新聞標題: 影／,Kumoki雲希、林資堯,婠兒,pocket355170
 喜歡的女生變老了8歲的阿姨，你可以嗎,如果你是個高中男生，喜歡班上的某個女同學，  但某天你可能掉進某個時空洞，遇到時間膨脹之類的，  出來之後發現她變老了8歲的25、26歲阿姨，已經是社會人士。   從JK突然變老阿姨，你各位可以嗎？  -- ,萊恩、葛闢藏鏡人,Moxingames,Jimmy Young
[新聞] 陳明通學生為何可犯規？ 名醫秀證據嗆：,陳明通學生為何可犯規？ 名醫秀證據嗆：台大論文延後公開至多5年  08:452022/12/06  中時新聞網   黃朝郁  民進黨政治人物近日集體捲入「論文門」爭議，新竹市前市長林智堅、桃園市長鄭文燦學位 接連遭撤銷，且兩人的指導教授都是國安局長陳明通，胸腔科醫師蘇一峰就質疑，,龍王剡,楊皓渝,Neal
 台灣的國球是贏球而已吧？,如題  日本踢贏德國、西班牙跟韓國踢贏葡萄牙時 一堆人說台灣怎麼不發展足球 結果日本輸克羅埃西亞、韓國輸巴西時 又說足球果然還是踢不贏歐美  你知道難道日韓自己不會知道？ 人家為了贏球可以規劃幾十年的計劃 台灣好像只想當下贏球，輸了就什麼都不是 有沒有八卦0.0  -- ,D DCCC、哈酷那羊馬它它、廖志,陳宜軒,夢想JT
[新聞] 駁斥「台灣員工較美國奴」　台積電：海外, 1.媒體來源: ETtoday  2.記者署名: 記者高兆麟  3.完整新聞標題: 駁斥「台灣員工較美國奴」　台積電：海外有相應完整補助  4.完整新聞內文: 晶圓代工龍頭台積電（2330）即將在台北時間6日舉行美國廠移機典禮，不過現在卻傳出 ，台灣員工和美國員工待遇不同，對此台積電則表示，人才是台積公司的根本，在台灣地 區提供優於同業標準薪資福利，對於海外廠區亦考慮當地物價及生活水準，會提供員工及 家屬完整的津貼及補助。  網上有自稱GG仔的台積電員工發文表示，台灣人過去美國亞利桑那州廠只給14天緩衝假， 但美國員工都已在美國了，緩衝假還是給21天；然後原本公司信誓旦旦說調過去不用輪班 ，所以現在要台灣人來扛；最後給的錢也是少美國人一大截，搞的好像台灣員工是次等奴 工一樣，,太菲鴨、陳律安,Hsin Yen Hsieh,寧波雙六
[新聞] 貨車併排卸貨！女騎士閃避遭輾慘死　違停,違停很機掰該死沒錯，但這案例違停不是突然出現，是一直在那裡欸  違停代換成車禍或落石，也是這樣不看周圍直接切車道，該不會也要說落石才是主因吧  有腳放下來看一下周圍這個選項，偏偏直接不打燈硬切....那出事有人意外嗎？  兩輪仔，腳很好用的，有時候可以放下來一下  -- ,夢想JT、JaJa的奇妙邏輯 _YT_、陳宜軒,人類惡,黑色睡蓮
 館長怎麼了，好像很低潮？！,來比喻一下就是：  陳之漢  飾演  大雄 黃國昌  飾演  王聰明（本作最強，但不重要） 台灣黑道  飾演  胖虎 台派覺青  飾演  小夫 洪秀柱  飾演  小夫媽媽 ,,Wan Chris,Neal
 發現男同事有刮腋毛!,今天天氣雖然涼冷 但公司裡面還是暖呼呼的  有冷暖空調! 坐我對面的男同事  今天也是穿短袖 露出他健壯的手臂  然後 剛跟他在茶水間偶遇  他在泡咖啡  他舉手拿櫃子裡面的杯子時  不小心從袖口看到他 竟然沒腋毛!?  一個男生 竟然會刮腋毛 令我有點小鹿亂撞  有八卦?  -- ,cjmwwuh,笑面貓,林克
 雞排妹的代表作是什麼?, 最近雞排妹好像蠻紅的  每天都有很多消息  2012年初因演出於一雞排店宣傳影片而爆紅隨後展開其演藝事業  但出道已經10年老實說還是不太知道她的代表作或是作品是什麼?  有沒有這方面的八卦呢?  -- ,魆影吳、黑羽望月,Pa Pu,某大大
 新生兒每人送一顆足球有救嗎,我發現球王公式：  小時候家裡很窮，爸爸送一顆足球， 在街上踢球被教練看中，抓去青年隊， 輸出歐洲踢球  假如台灣送給新生兒每人一顆足球 沒事就踢球 不要參加廟會  遲早變足球大國吧 有沒有救 0.0   -- ,黃新程,Boris,大溪消防分隊桃園市政府
YT影片，竹圍碼頭花二億，現沉沒?,剛剛在臉書上被推薦一個影片， 說是桃園竹圍一個花了兩億蓋的碼頭， 選前啟用， 但現已沉沒消失， 總之沒人在用， 有沒有人可以跟我說這個是真的還是假的?  ,佐冬塔天,Chi,莊豆油
 什麼人會拿別人中槍傷痛開玩笑？,如題  很多人都喜歡開玩笑 但有人居然會拿別人中槍的傷痛來開玩笑 請問這種人都有什麼特徵嗎？  有沒有八卦0.0  -- ,TURN WANG、阿浪、廖志,Lider985,Su To
 大家能接受台灣隊在世足賽被巴西隊電嗎？,1. 無法接受  2. 改支持巴西  3. 先踢進世足再說  4. 其他  台灣在國際賽事遇到一級強國  被電大家會不會很難過呢  有沒有何時能看到世足台灣對上巴西的八卦  -- ,楊正彥、狼狼&燐恩,黑羽望月,楊皓渝
[新聞] 蔣萬安上任如履薄冰？ 游淑慧稱傻眼：柯,蔣萬安上任如履薄冰？ 游淑慧稱傻眼：柯文哲交接漏這6項  聯合報／ 記者林麗玉／台北即時報導  台北市長當選人蔣萬安昨天率團赴北市府，與市長柯文哲首度會商交接，柯文哲提出24項 府級列管的交接項目，包括小巨蛋、社子島、大灣北段等，國民黨北市議員游淑慧今天在 臉書說，看到昨天柯市府團隊列出的24項市政交接，「我有點傻眼， 一堆漏而不談、避 重就輕的問題，是怎樣？」  游淑慧今天在臉書提出六項昨天柯市府沒有列出的交接項目，游說，首先2038亞運，柯文 哲最後一年任期突然拋出要爭取2038年亞運，不但到市議會總質詢的時候報告，也跑去跟 關渡的地主拍胸脯，讓地主們有一種土地即將會被徵收的錯覺。但耗資可能近千億的亞運 計畫，居然沒有在交接的重大政策之內。  游也提出，柯市府的隱藏負債，柯一如往常的自誇8年來還債570億元，卻沒有跟蔣萬安交 接，社宅目前就計畫要舉債超過650億，「這些隱藏債務，藏著不講，是健忘還是禍心？ 」  游淑慧也提到，台北商圈振興這兩三年台北市因為疫情的問題，商圈景氣大受影響，東區 商圈沒落不振，這難道不是重大未來需要解決的市政問題嗎？還有東區門戶缺電問題，東 區門戶缺電問題在選舉的時候，被黃副市長拿來高度炒作，甚至還在辯論會週五提出來當 議題，怎麼一選完，缺電問題就變成不是重大問題？  游也說到悠遊卡市占率萎縮、及電子支付慢人一步，悠遊卡公司曾經在電子票證擁有接近 99%市占率，在柯文哲上任後面臨一卡通、iCash愛金卡等競爭，居然節節敗退。  游說，當一卡通積極跨入行動支付時，與Line Pay等行動支付業者、超商開始合作時，悠 遊卡公司幾乎是龜速進展，一直到2020年底才推出悠遊付，只是市占率早就崩盤了。  職場上，遇到這樣交接的前任，該怎麼辦？  游淑慧也提醒蔣萬安「蔣市長團隊，小心小心再小心」，「遇到一個不甘心交接的市長、 遇到一個爭功諉過的市長、遇到一個還沒有卸任，官員就走得7788的市府團隊」，「蔣萬 安的交接和上任之路，我只能說步步小心、如履薄冰。」  UDN.COM ,奧茲國的大冰喵、Wan Chris,奧茲國的大冰喵,秋山院桃
 龍邦為毛會漲?,今天股市跌 但龍邦卻連漲二天 而他想吃掉的泰山 連二天大跌 怎麼泰山起跌 龍邦起漲呀？ 484很怪? 呱?  -- ,27嚴承翰,大溪消防分隊桃園市政府,大溪消防分隊桃園市政府
 有沒有TWININGS唐寧茶的八卦？,唐寧茶 TWININGS 聽說是獲得英國皇家認證的茶品牌 朋友說早餐茶還滿好喝 想買來喝喝  有沒有唐寧茶的八卦？  -- ,diamonddevil,beradzeroking,HE HE
 平常足球員在幹嘛,欸 小弟一日世足迷迷啦 平常足球員在幹嘛啊 平常籃球員在打nba 棒球員在打mlb 足球員在幹嘛 睡覺幹砲然後等四年一度的世足嗎？？ 有沒有八卦  -- ,零。。、Moxingames,羅仁鴻,Derek871
 被文化侵略了怎麼辦,現在 老人小孩 播的視頻都比影片多 常常都聽到大陸口音的聲音出現在他們手機 說好的軟實力不怕競爭呢？ 有沒有八卦  -- ,強襲爵士、莊豆油,菜G一只,Jimmy Good
 跟自己不喜歡的對象交往跟單身豆己,是這樣的啦  本帥的大媽同事說他一個朋友女兒非常好  介紹給本帥認識看有沒有機會交往  但跟那女生約出來碰面後  嗯....真的不是本帥的菜  但的確是長輩會喜歡的類型  不過我又在想  很多人都說交不到異性  但，硬跟自己不喜歡的對象交往跟單身大家怎麼選呢？  有沒有八卦？  -- ,,某大大,徐立龍
 女同事生理痛怎摸辦？,大家早安  是這樣的啦  阿肥的女同事今天生理期來惹  早上工作到一半的時候她突然痛到蹲下來  阿肥我見狀趕快衝過去攙扶她  她跟我說突然很痛眼前一片白  我要做些什麼才能讓他覺得我很暖呢？  聽說貼暖暖包好像可以緩解餒？  各位八卦暖男兄弟們 女同事生理痛要怎摸辦才好呢？  阿肥的幸福就交給各位了  -- ,粗獷暖男,迷霧 翔,鄭承嘉
 這漢堡排有幾分？, 如題 今天清晨日本跟韓國兩場 讓我賺了八萬多P幣 想說吃個豐盛的早餐犒賞自己 ,凱、hao chang、Alice Cheng,Taylor Wang,neko fake
 要怎麼在上班的時候偷哭?, 諸君 早安  今天又是一個美好的一天  最近比較低潮啦  上班的時候想要哭哭  想要邊工作邊哭(?)  要怎麼樣哭才不會被發現?  有沒有前輩可以教一下?  母咪母咪   -- ,Jarvis Hong,蔡光宇,阿契爾
 館長怎麼了，好像很低潮？！,館長低潮 沒有吧 選舉也過了一個禮拜了 他也要調整 他做直播做那麼久了 不可能每天都爆氣 台灣做直播 他是先驅也是專家  以前廢話滿天飛 現在也是廢話很多 但是節奏掌握很好 廢話夾雜笑點渾然天成   看館長要看 看點跟爭點  爭點就是 黑道的問題  看點就是 罵執政黨  其他的未必是真的 他玩直播也玩了快十年了  一路風風雨雨 B17應該是最大的監督 B17也下去了  他這人一直以來都是個人利益為上 當然你也可以說公共利益也有啦  不過呢 他確實是一個很大的風向球  我本以為他跟DPP混的也還可以 不會再來監督執政黨  後來他還是選擇讓自己再來一波能量 明年還要辦遊行  執政黨也沒辦法無視他 你說抹黑挖黑料 過去十年一堆人做過 好像也沒啥影響  支持他的人很多都不是支持他 只是支持他說話而已  他繼續對我們有利的說 大家就繼續會支持  那怕都沒用 還是會聽他說 這就是他這十年來的直播基本盤  你不一定會認同他的說法 但他的風向讓他站得很穩  這次會不會被摸頭 應該是不會  因為很明顯時局變了 下次在幫民進黨說話  可能是在野黨有人犯錯 或是民進黨下台了  遊行會不會成功 我覺得會 甚至會比之前辦得更好  預言一下  各方面都不如以前 反撲能量一定會更大      -- ,廖志,Qiu,NeetAllen
[新聞] 行人安全、店家賺錢！ 南市友善騎樓累積1,備註請放最後面 違者新聞文章刪除  1.媒體來源:聯合 ,生牛肉,巧虎,Jarvis Hong
 好不容易選上主管缺卻無法就職怎辦???,欸幹 我朋友俊銘啦 好不容易終於 有一個外派主管缺 但是在香港 俊銘上有老母 又肛交了一個女朋友 這是他睽違十年之後的第一個 然後女朋友不想跟著去香港 就算俊銘養她不用上班也不要 眼看月底期限就到了 現在俊銘感覺要為愛放棄了 好不容易選上 不能就職的心情 有誰能懂  -- ,pocket355170、沖田瓦,大中間,morenove
 新生兒每人送一顆足球有救嗎,我有一位朋友 他從小玩足球 有天他跟球跑到馬路上 剛好有輛車撞過來 人沒事 因為球緩衝了撞擊力  -- ,qcp ccc、YKX _,sam hoo,OldYuanshen
 萬惡淫為首，下一句怎麼接,常常聽到有人說萬惡淫為首  但是完全不知道下文是甚麼  下一句應該怎麼接才好呢  百善孝為先？ 南無阿彌陀？ 蔡英文總統？  -- ,un known,Sousuke,Jtao
 有人昨天買日本的嗎？,昨天看好日本連勝，買了不少，3位數。起床發現輸球了...有人也是買日本賠錢的嗎？， 輸大錢要怎麼釋懷？  -- ,以翔旋風、Rry La、Lucifer,大溪消防分隊桃園市政府,Boris
 很多人只能在馬路上展示自尊??, 對正常人來說 馬路就是一個抵達目的地的過程 人生的輸贏和價值跟馬路上的狀況無關  可是很多人好像都要在馬路上拚輸贏 被超車或是讓車就會自尊受創 最明顯的就是看到方向燈反而加速  這些人是只剩下馬路可以展示自身價值嗎  很多人只能在馬路上展示自尊??  -- ,Ruben Tsai、陳永陽、大溪消防分隊桃園市政府,For Lee,是華哥不是華歌爾哦
[新聞] 駁斥「台灣員工較美國奴」　台積電：海外,某些人吹到爆的護國神山 本質上是血汗工廠 有本事去跟美國人說24小時oncall 是職業道德 沒告到你回家找媽媽算我輸 都成為鬼島代表企業了 能不能有點底線 晚上需要人來顧機台就多請人啊 弄輪班制度是想復刻奴隸制嗎 當人都不用有私生活就對了 真是有夠丟人現眼  -- ,陳律安、Aranlee Wu、隱形小自由,楊梓民,人類惡
 急！套子很容易掉怎解？,每次要上陣 都發現 套子不見了 還要到處撈 還不一定撈得到 很不方便  要怎麼讓套子不會一直掉？                   我是說隱形眼鏡夾的套子 ,陈和文、Lai Jim、楊皓渝,For Lee,博朵ㄉ頻道
