users,App,Comments,,,,
楊阿宏,Discord,不務正業真的走到哪裡都能帶給人開心,,,,
林瑞發,Tencent QQ,原來大牛除了唱歌好聽人帥講話又很風趣幽默。,,,,
JC,Microsoft Teams,不忘初心，老闆和團隊一起加油~~,,,,
Willy YANG,Slack,沒牛鞭笑聲這影片就沒靈魂了 有時候影片也不能用太長 不然要連續笑10幾分鐘也是蠻痛苦的 哈哈哈哈#國民姑丈 #我是牛粉我驕傲 #多一點時間陪伴家人,,,,
치우한중,Telegram,大牛自然不做作，內容對話又超好笑！,,,,
Keira Cheng,WeChat,好好笑喔～有些人是硬擠出梗，羅大哥的喜感是骨子裡的，看完都心情很好,,,,
peggy li,WhatsApp,這是我唯二訂閱的頻道，第一是老高，第二就獻給大牛哥了，真的太好笑了，許願一下，希望冰塊哥也可以來做個特輯,,,,
SIN-TAO WU,Snapchat,第一次接觸大牛哥頻道就是這部片，現在再次回味，真沒想到這麼短的時間人數能衝那麼高,,,,
Amos Tine,Messenger,笑到肚子痛旁邊的笑聲效果滿分終於找到娛樂的 大牛哥請用力出片,,,,
Brian,Blackberry Messenger,每一集都看完了，真的宇宙無敵超級好笑,,,,
雨晴,Discord,羅大哥真的太好笑了xddd牛編也很好笑希望多多更新 訂閱數可以持續成長～～#國民姑丈#多一點時間陪伴家人#我是牛粉我驕傲,,,,
陳勤泓,Messenger,真的 比一些娛樂節目好笑超多 我每天看 很自在,,,,
yirain,Tencent QQ,真的太有魔性了，一集看完接著看⋯小編跟大牛哥加油～衝到百萬不是問題,,,,
kimo,Discord,羅時豐大哥，超乎我想像，太好笑了。後製也很厲害!,,,,
劉七星,Brosix,超棒的主角，一旁攝影跟幕後製片也超厲害！羅叔叔以前有這麼精壯的嗎！？,,,,
光哥,Telegram,大牛哥為人謙虛，對人和善，我會繼續支持,,,,
許小臻,Brosix,上星期一個不小心看了之後就一直追！媽呀！居然讓我追完了！可以一個星期出2集嗎？笑死我了！改天可以來台南果菜市場！好吃！好買的一堆！訂閱率應該就破百萬了！,,,,
陳勇廷,Messenger,小時候聽他的歌聲長大，現在再看到他感觸好多，也謝謝他再次帶給我們歡笑，加油喔！,,,,
Mandy Lee,Discord,一次看了好多集，笑到不行！ 請繼續拍更多的影片，讚。,,,,
波賽頓,Telegram,大牛哥真的太接地氣太有才了，這不訂閱不行,,,,
Joy S,Messenger,回看一年多前的影片，快笑死 特別是毛巾廠那一段，大家都很會配合,,,,
潘雅如,WhatsApp,很喜歡看小編寫的對聯 都很有趣 好好笑,,,,
own369,Telegram,太好笑了後製很厲害,,,,
勇者無懼,Microsoft Teams,太靠北了沒想到大牛哥走這型節目挺優（油）的,,,,
Wei-Chih Cheng,Telegram,不知道為什麼看到羅石豐大哥，很有親切感，可能從小看到大，真的很好笑，比很多年輕的YT，都好笑太多了，這頻道一定會火！ 製作團隊也很強,,,,
Lee KT,Skype,15 分鐘片長不算短，可是每次看都覺得時間過好快好好笑,,,,
hope lose,WeChat,期待牛哥跟鼠叔一起同台、台語一樣很溜、一樣很油、一定好笑,,,,
M.C. T,Microsoft Teams,為什麼可以這麼正經卻很好笑！一部一部默默追下去,,,,
張郡巖,Blackberry Messenger,大牛哥好笑這團隊更好笑呀！沒多久訂閱就衝10萬訂閱再來就是衝100萬呀,,,,
鄭雅涓,Tencent QQ,祝第二季收視長紅欸哈哈哈，從第一季追到現在的我厲害吧。也謝謝不務正業的各個幕後、牛編跟姪子（？？）一起用心製作喔也祝羅大哥永遠身體健康 #國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
yuemaple01,WeChat,在網路上看到羅時豐當youtuber一看就愛上了！只是有時候收音好像不是很好，音樂很大聲、人聲很小聲但這一集很剛好！而且超好笑！辛苦了、加油～！,,,,
李美雪,Discord,你們拍的影片都很好笑⋯⋯超喜歡你們魔性的笑聲...,,,,
pierce chien,Microsoft Teams,大牛哥的節目真的很好笑又好看,,,,
洪貴妹,WhatsApp,被西門町直率妹妹片段吸引～來看不務正ya~哈原來中（老？）年大牛哥這麼好笑～直接被姑丈圈粉～希望頻道可以一直繼續拍下去～裡面真的好笑又溫馨～某些片段都快哭了～真的很符合頻道宗旨好節目現在每天都在叫身邊的親朋好友～來收看+訂閱～祝福不務正ya團隊～早日成為百萬訂閱頻道️,,,,
Zora Hsu,WhatsApp,這種深入地方的拍攝，覺得比某些美食節目介紹美食，還要更親民的感覺，很喜歡，期待今天的第二集。By the way,羅時豐大哥的國語轉台語能力也太強XDD，不簡單,,,
Patrick Wu,Blackberry Messenger,大牛哥，永遠支持啦！！！最飛迅跟得上時代的資深藝人！！！#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
陳世斌,Telegram,一口連看6-7集！！小哥大牛愛說笑 你說好笑不笑！！說小牛哥拍的是幹片，也不為過！今天這樣一看，力馬訂閱起來！！,,,,
葉永忠,Messenger,生活樂趣的來源期待更多的作品推出衝出百萬粉絲吧！,,,,
許潓鵑,Viber,下班看這個真的很舒壓，好好笑喔,,,,
cowbaby1108,WeChat,好好笑！很棒的頻道,,,,
張君誠,Microsoft Teams,好喜歡這個頻道，好真實 加油加油,,,,
黃阿惟,Viber,牛哥影片浪我真的放鬆的真心大笑  這診麼會是過氣藝人呢 秀場梗用都用不完,,,,
Cathy Wu,Blackberry Messenger,怎麼那麼好笑啦 真的不能錯過任何一支影片欸欸,,,,
Hsiu Huang,Microsoft Teams,一開始是在dcard 看到有人推薦結果一看整個愛上現在還會推薦給家人朋友看最酷姑丈下次可以來台南嗎,,,,
Fong,Microsoft Teams,笑死太好笑了，當地人的 對話很好笑，背後的笑聲也很好笑,,,,
Lorena Hsu,Kakaotalk,怎麼可以這麼好笑啦,,,,
蔡廷鍇,Discord,啃~好久沒笑這麼開心了,,,,
黑心肝,WhatsApp,大牛哥太有梗了，真的太有才了。,,,,
zz Zeun,Telegram,工作人員笑聲真的很催笑欸,,,,
郭芳慈,Discord,大牛哥的頻道真的很讚菱角那集看了好多次XDDD超愛希望大牛哥頻道能越來越多人看見支持大牛哥~~~ ,,,,
imdorameigg yip,Slack,太攪笑，每日追睇，成家笑到勁大聲好正,,,,
阿森,Microsoft Teams,這剪輯也太猛 都剪在笑點上,,,,
Cheng Kevin,WhatsApp,太好笑了，超棒的頻道,,,,
無出其宥,Slack,真的每一集都很好笑一定要繼續做下去啦,,,,
羅,Snapchat,拜託DL哥多拍一些影片，一定很快破百萬,,,,
豬皮,Tencent QQ,大牛哥，請繼續做不務正YA~~太好玩了！#國民姑丈,,,,
黃宗毅,Brosix,已開始期待下集「擠白」#國民姑丈#多一點時間陪伴家人,,,,
Tabasco Basco,Messenger,每一集都笑死 最喜歡這種為老不尊的了,,,,
ting wang,Slack,黃腔好煩可是好好笑,,,,
JC,Discord,實在太好笑了 很喜歡這樣的頻道,,,,
邱順傑,Viber,牛哥轉戰YT真是太有才了好笑，訂閱直持牛哥,,,,
俞,Snapchat,笑聲真的是很靠北又好笑,,,,
Dora,WhatsApp,第一次看到覺得太有趣了~看了心情好好。標語也好好笑,,,,
禮思列考培歐康尼勞斯,Microsoft Teams,好看，害拎北笑甲，哈哈哈，祝訂閱早日破百萬，加油,,,,
陳誠,Discord,好喜歡羅大哥影片每個都很好笑.祝羅大哥訂閱人數越來越多加油,,,,
Gaddy Lin,Slack,太晚發現這麼好笑的節目,,,,
葉小可,Snapchat,心情不好看羅時豐搞笑，心情整個人都好,,,,
Chao Lee,Messenger,那個笑聲真的很療癒，好看！太好笑了,,,,
加藤廚餘,Brosix,大牛哥被說服的反應好可愛  哈哈,,,,
翁昌,WhatsApp,笑翻了啦 如果在學個 阿輝伯 會更加分，話說……真的很欣賞大牛哥的 那首《真情》,,,,
鰲拜,WeChat,好久沒看到會笑出來的youtube節目,,,,
伍角,Discord,看你們頻道影片真的很好笑很開心,,,,
今晚打老虎,WeChat,我是虎尾科大畢業的 , 看到大牛哥介紹讓我想回去學校走走還是謝謝大牛哥到雲林介紹 , 那裏是個好地方啊大牛哥實在太好笑了 , 我快笑到翻了 讚讚讚,
Chen Ted,Microsoft Teams,很後悔沒有早點發現羅大哥的頻道 真的超級好看也很歡樂 加油羅大哥,,,,
邱育勝,Discord,不小心看到這頻道，幹，超自然的又好笑看了很多集！訂閱了啦！！！加油,,,,
嘎,Messenger,大牛哥真的轉型超成功XDDDDD,,,,
曾明明,Brosix,很棒的藝人，羅時豐，很多影片好分享，謝謝你，也與大家分享毫無疑問的好舞蹈，活力拉丁，昀珊單人舞蹈，最近舞曲，法拉利與superstar,,代表作，喜愛著迷記得按讚！按訂閱喔！謝謝大家，祝福微笑心眼臉,,
PimJiun Lin,Viber,魔性的笑聲很有趣，但是為什麼都比主角還大聲啦XDDD姑丈很容易被姪子說服大牛哥身材很好ㄟ！！就是臉太瘦,,,,
Chris Huang,Messenger,這節目講話實在有夠靠北的~~~ 我喜歡~~ 已訂閱  哈哈哈哈,,,,
どやんす。(DYS),Blackberry Messenger,91萬多觀看啊~~~恭喜~~~~ 希望這個影片能到100萬多觀看~~~ 然後2:14 笑死XDDDDD,,,,
Steven Wen,Line,太好笑了啦，整個影片都好歡樂#國民姑丈#多一點時間陪伴家人#我是牛粉我驕傲,,,,
wdr990,Discord,好好笑~大牛哥轉行當諧星算了,,,,
劉怡婷,Slack,太好笑了哈哈哈 每一集都很有趣,,,,
貪心鬼,Blackberry Messenger,我有喜歡超自然接地氣，想說什麼就說什麼的大牛哥,,,,
愛德蒙,Discord,樂包子那段太哭了吧  這頻道剪片師夠水準! 讚,,,,
Ronald,WhatsApp,看完要按讚，養成好習慣！幹話越看越好笑，無法自拔啊！,,,,
放洋,Kakaotalk,期待期待！沒想到上集居然整集在車上就結束了------一開始是從狗屎寫手過來的每一集都是笑點滿滿欸,,,,
秋月東風,Brosix,被笑聲撐起來，看了蠻舒壓的,,,,
樂樂,WhatsApp,害我笑到一直咳嗽,,,,
M Z,Kakaotalk,笑到不行，最愛看大牛哥被嗆,,,,
江明儒,Snapchat,超級直白不演真的超好笑,,,,
台北浪漫,Kakaotalk,我知道為什麼侄子拉著姑丈拍視頻原因是拉著一票朋友騙吃騙喝 姑丈買單  哈哈哈哈哈,,,,
John Wick,Discord,我知道有些姪子誇張的笑聲是為了掩飾尷尬的冷場,,,,
Chien Di Chen,Skype,很高興大牛哥來雲林玩,,,,
申奇蹟,Telegram,第一次看到大牛哥開YT這不務正YA 太好笑了一路與製作人對答還有商家民眾應對都太好笑值得訂閱按讚加分享,,,,
黃楷惟,Microsoft Teams,越來越好笑,,,,
,Blackberry Messenger,【粉絲福利】活動截止囉~~☆寫下：你想對【DL.不務正YA】說的話，☆標記 #國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲就有機會可以抽中限量 貼「身」小禮物！！,,,,
捏麵人,Kakaotalk,太療癒了，馬上被圈粉,,,,
黃藥師,WeChat,大牛哥的主持功力跟笑點恰到好處這不紅沒道理。,,,,
OMGOMGOMG! My,Tencent QQ,黃NY講話真的屌，自然的效果！,,,,
Hsuan Yen,Blackberry Messenger,大牛哥太好笑哈哈~每個禮拜五都好期待DL.不務正YA~想趕快看下集的麻糬~哈哈#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
��𝓊𝓃𝓉𝒾𝓃𝑔,Discord,快笑死 這頻道優質,,,,
甘納強,Telegram,每一集都好好笑 期待下一集,,,,
巴娜娜,Slack,靠北這個笑聲有夠好笑 不管哥講什麼都好笑,,,,
小美,Telegram,看到大牛好幽默，一路笑到尾，一部接一部,,,,
布萊恩,WhatsApp,射手的笑話明明就聽過很多次，從大牛哥嘴裡說出來還是好笑。,,,,
陳灰塵,Telegram,超好笑的 而且也想去雲林走走,,,,
鄭成功,Snapchat,這比起一些娛樂節目好看&好笑很多,,,,
Jia Hao Ye,Telegram,這個頻道應該要紅的啊 出片量高一點啦 哈哈哈,,,,
Knight Channel,Snapchat,大牛哥的反應還是很有趣～唯一缺點就是影片很短～,,,,
pei yu,WeChat,我又要再次哀號～～～天天再虎尾“造從”居然沒有巧遇大牛哥啊～果然最遙遠的距離，就是你在我旁邊，我卻不知道！真是像極了愛情,,,,
BreezeWei,Telegram,從以前電視上就覺得大牛哥其實人很風趣幽默 但是礙於電視上尺度的關係 這是第一次開始看大牛哥的頻道 已成鐵粉 真的沒想過你跟你侄子的配合像是天雷勾動地火 一發不可收拾 雖然你們目前的訂閱數不高 但是我相信保持這種勢頭跟風格 哪天上升到臺灣第一名 我也真的不會覺得意外 有一點點豬哥亮的風格 很敢講很敢開玩笑 很率真 ,,,,
葉臻的,Skype,這家包子真的好吃,,,,
淇.,Tencent QQ,真的是被歌壇耽誤的諧星欸,,,,
陳若愚,Viber,親民不做作，行走個鄉村，提供大家另類歡笑的頻道，#國民姑丈 #我是牛粉我驕傲 #多一點時間陪伴家人,,,,
水水紋紋,Messenger,牛哥牛哥牛哥！原來私底下跟上節目一樣好笑，一連追好多集,,,,
阿誠,Line,大牛哥真的太好笑了,,,,
捂疼油細,Kakaotalk,本來要分享給我老媽，看完發現好多黃腔...只好分享給同學,,,,
歐基福,Viber,大牛超風趣幽默,,,,
ᴹʳ.ˢʰᶤᶰ ⋆ ᴹʳ.ᴮᵉᶤ,Discord,第一次看就被旁邊笑聲所吸引，我決定要追光光。哈哈哈,,,,
klim Lin,Viber,看完很想去！廠商找對人了啦！喜歡大牛哥,,,,
林子衛,Blackberry Messenger,大牛哥可是餐飲業的扛霸子啊,,,,
董淑婷,WeChat,說實在這笑聲很療癒,,,,
AN H,WhatsApp,默默的把頻道內全部影片看完 大牛哥跟路人、店家嘴砲真的很靠北很久沒看到這種看完會大笑的影片了這頻道會火吧,,,,
HUANG YAOYAO,Blackberry Messenger,羅大哥跟姪子真的是絕配ㄟ～～太妙了,,,,
Ching-Yuan Huang,Telegram,看完狗屎寫手後就來訂閱了~喜歡大牛哥#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
ndy a,Microsoft Teams,加油喔  羅大哥  我剛來看時  才幾千人  現在有三萬瞜  很棒   過不久絕對能十萬的,,,,
Una,Discord,笑到流淚又燒聲,,,,
干你屁事Mei,WhatsApp,這集也很好笑耶！！,,,,
august19830820,Telegram,大牛哥實在太幽默了！訂閱訂起來,,,,
芒果陳又寧,Slack,兩千多人時訂閱⋯⋯不知不覺30多萬了⋯⋯我覺得今年一定破百萬訂閱，姑丈加油啦,,,,
Knight Channel,Telegram,喜歡大牛哥影片各位來把讚↑點超過1000啦～～牛鞭說1000讚就來跟大牛哥要求開放福利，讓喜歡大牛哥影片又覺得很短的各位看不剪版看個夠啦～～！！還不趕快把讚按爆,,,,
羽愉,Slack,羅大哥很容易被說服哈哈哈哈,,,,
白也,Telegram,3:25 馬上被打臉大牛哥也太好笑#國民姑丈#多一點時間陪伴家人,,,,
RJ、莫忘初衷,Snapchat,這個頻道的經典就是那個笑聲,,,,
茹茹,Viber,最難持續堅持的 「莫忘初衷 」別被一點一滴的慾望給合理化了,,,,
劉小布,Messenger,哈哈哈哈哈一年（驚）我說包子店啦誰問你做多久～（憨厚）整個大笑笑死,,,,
資深少女Inuomi,Line,我愛DL.不務正YA!!好想聽大牛哥跟博恩唱練太壯!!!#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲     。,,,,
Muta,WeChat,看大牛介紹真的會想去耶,,,,
毛毛,Kakaotalk,雲林其實很多小景點也是不錯的但是缺點就是沒串接起來，比較適合有開車的虎尾 小吃 落雨松 毛巾工廠等北港 宮廟文化,,,,
Tsai子琪,Telegram,耕地藝術節的 背景音樂實在太牛了  舞台也是超讚,,,,
林琮淯,Messenger,好好笑哦～從頭笑到尾,,,,
吉老夫子 CHILAOFUZI,WeChat,大牛哥超可愛~姪子笑聲更可愛,,,,
Gary Lin,Slack,真的超好笑，改行當youtuber好了XDDDD,,,,
엽송정,Microsoft Teams,紓壓到爆炸 笑到爆！但真的超怕被黃標被黃標 以後就看不到這麼好笑的,,,,
陳玉佩,WhatsApp,魔性笑聲讚讚讚,,,,
茂祥沈,Skype,我也超喜歡，羅時豐大歌，唱歌好聽，又搞笑，不務正業好看,,,,
瑋彤,Messenger,後製太有才了,,,,
三把刷子,Skype,一個被唱歌耽誤的YouTuber幹太好笑了,,,,
Jeff,WhatsApp,看了幾集真的很好笑找些年輕受眾多的youtuber 合拍一下，訂閱一定衝很快,,,,
Sin Chen,Viber,頻道很用心，真的很有趣，有新片都會想趕快看#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
蕭瑜馨,WhatsApp,看場地我真的快笑死了啦,,,,
JASON H,Tencent QQ,整片看完從頭笑到尾這不訂閱太對不起大牛哥了,,,,
kay wang,Tencent QQ,沒想到大牛哥這麼幽默..,,,,
h i,Brosix,超級好笑 ...噴淚,,,,
興,WeChat,沒看過這麼好笑的~讚啦,,,,
amilia huang,Snapchat,哈哈哈，真的要笑屬了，眼淚都流出來了,,,,
Tsai子琪,WeChat,雲林布袋戲館超值得逛  對面那一間誠品也很牛,,,,
陳泓志,Line,好可愛的大牛哥我笑翻了哈哈,,,,
柔柔,Microsoft Teams,後製太好笑了啦,,,,
Wu Mandy,Skype,意外好看耶～要不要考慮跟木曜合作打開知名度！！！！效果真的很棒耶～,,,,
劉維建,Kakaotalk,笑聲太大了啦！晚上看會太興奮啦。,,,,
劉孔,Brosix,讚喔！笑開懷。期待下一集,,,,
黃聖潔,Kakaotalk,包子店那邊問店員做幾年笑死我了XD,,,,
曾麥香,Slack,8:46笑到流淚，有夠古意,,,,
#飛到月球去,Brosix,有夠ㄎㄧㄤ的，噹來噹去的才好看,,,,
Lothar洛塔爾 Lee,Microsoft Teams,開頭我已經 笑到走了 靠背哈哈哈哈！！,,,,
Fred Chuang,Microsoft Teams,給我認真更新啦~~~蟹蟹DL給我愉快的周末!~,,,,
陳俞憲,Microsoft Teams,笑聲太魔性了吧,,,,
G Little,Skype,這集是閩南語教學,就喜歡台語,安妮娘也好,靠北靠母也好,台灣的母語大家不要遺忘了/我是雲林子弟
啊炮哦北造,Kakaotalk,太喜欢这个节目,,,,
吳伊森,Viber,三代皆識哥，便是大牛哥！訂閱破百萬！！我想要貼「身」小物，抽抽抽#國民姑丈  #多一點時間陪伴家人  #我是牛粉我驕傲,,,,
Free Sky,Messenger,秋很久 跟 阿捏涼 笑翻喜歡已到6666 ,,,,
Elviss,Tencent QQ,如果我沒有那個笑聲我會想把它看完,,,,
阿希爸,Slack,看完了三集真的想去雲林玩欸可以問一下你們去過哪些景點可以參考嗎？印象有第一集的黃俊雄飯店還有雲林大菜市ˋ,,,,
莫棠,Kakaotalk,真的每集出來都笑到爆，超多梗，這集長度我很滿意（影片時間）牛編跟牛哥的互動真的超好笑，由其是後面要住宿前的對話。整集看下來笑到不行。#國民姑丈,,,,
小詡詡,Line,這笑聲真的無敵了⋯⋯有機會來善化嗎？夠冷門了吧？,,,,
Yang KanA,Tencent QQ,為了那個背景雞歪的笑聲跟牛哥 我訂閱了,,,,
Duncan Feng,Viber,客家之光 真的太好笑,,,,
YL L,Brosix,謝謝大牛哥介紹我的家鄉  ,,,,
賴小宇,Telegram,超級好笑的，尤其是後製的部分。,,,,
Oct,Discord,迷之魔性笑声太爽鸟,,,,
毆ㄇㄧˋ馬,Kakaotalk,有沒有機會看大牛哥跟小哥費玉清一起上直播捏，好想看兩個人會碰出什麼火花。,,,,
子碩,Snapchat,太好笑了…跟拍攝的（姪子嗎？）像在唱雙簧就算了…笑聲還那麼搶戲 推推推,,,,
謝孟栩,Discord,旁邊的笑聲太魔性,,,,
秋月東風,Tencent QQ,原來是樂包子，真的挺好吃的,,,,
小綠人,Tencent QQ,這笑聲超越哈哈台,,,,
4B-kyle,Kakaotalk,每天都期待看,,,,
寒劍默聽奔雷,Kakaotalk,一直回來看，真的很好笑。哈哈,,,,
Edan_Holic,Discord,羅大哥黃腔真好笑~~~~~~~,,,,
Phoebe菲比,Slack,我想要大牛哥的海報～相信大牛哥可以把粉絲市場逐漸轉型成女生的大叔型偶像的！因為我就是其中一個牛粉！！！好想知道下次大牛哥去哪拍片，想去巧遇就可以拿CD跟海報了>///<#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
五味雜陳,Skype,鄰居，已訂閱。幽默、好看,,,,
謝阿毛,Blackberry Messenger,幹，牛編的笑聲真的超魔性。,,,,
龜丟丟,Discord,怎麼跟大牛哥錄節目的人都很會幹話 XDDDDD,,,,
給幕後一道18Light,Line,18Light來挺一波！有笑有淚的好頻道必推！,,,,
劉羽恩,Tencent QQ,想看姑丈跟鳳梨叔叔一定很好看,,,,
丐眉頌,Slack,太好笑了，我阿公在天上都訂閱囉,,,,
吳青珮,Viber,大牛姑丈好像很容易讓小編說服的。,,,,
星曲,Line,這頻道也太歡樂了吧！,,,,
王光正,Slack,太好笑了,,,,
TONY THEREAL,Snapchat,太好笑啦～～～,,,,
barttzu,Skype,有啦，罐頭笑聲有少很多，後面聽得出來是現場笑的，牛鞭加油捏,,,,
阿隆東,Viber,唯一要看就是羅時豐，他是一代巨星非看不可，請大家快訂閱大牛影集太好看了，看一次就少一次。,,,,
張俊華,Skype,渴望2021年能爆紅 ~,,,,
廖田馨,Kakaotalk,安內娘? 快速念10次就變髒話了XDD好喜歡大牛哥!甚麼時候來台中拍片拉!,,,,
蕭永慶,Brosix,大家有發現嗎？，大牛哥訂閱，這兩天多了5000人！一直持續當中！超狂！,,,,
Juice Boo,WeChat,我超努力在追他笑死我,,,,
M Wong,Viber,這集有一百二十萬次觀看!讚,,,,
哲凱 葉,WeChat,我每天看都很好笑,,,,
delong ch,Kakaotalk,哈哈。最後面的麻糬最好笑啦,,,,
ken lin,Discord,偶像，希望有一天能看見姑丈！,,,,
Allen Lee,Discord,真的好笑，棒棒,,,,
林達人,Skype,讚感謝分享,,,,
Ryan,Snapchat,很有梗 快笑死,,,,
李偉嘉,Telegram,片尾旋律好聽！,,,,
Elise Liao,Microsoft Teams,超級無敵喜歡....D.L 無敵想要當頭號粉絲..請給我標籤..只有D.L的影片我捨不得快轉..資訊焦慮症的我..捨不得看完你的的影片..第一次入坑..讓我忍不住熬夜全看完。PS.能不能業配有優惠價..腦牛粉在廣告公司工作..好想和你們合作 ,,,,
feng,Blackberry Messenger,開心耶！笑的臉部線條都往上提。,,,,
TeeY,Brosix,13:55 看到下面那句 今天網路網路瞬間就用得夠多了XD,,,,
盧小小,Microsoft Teams,看了會笑死 都不知道你這麼好笑 哈哈哈哈,,,,
Tsai子琪,Skype,好懷念的 Rock 背景音樂 一聽就知道 向Ａ洽上身,,,,
蔡,Brosix,跟木曜四一樣值得看,,,,
Iij Kj,WeChat,大牛哥的影片真好看，影片好好笑。,,,,
楊嘉樺,Tencent QQ,楊嘉樺 • 1秒前開臺之漳泉漢人(華人)之後(kai-Dai-zi-Ziong-Zien(Zuan)-Han-Lin(Hua-Lin)-zi-Hou) 一千七百萬人以上之漢人(華人)(It-Tsien-Tsit-Biek-Van-Lin-i-siong-zi-Han-Lin(Hua-Lin))之漢語(華語)之俗語歌(Han-Ngu(Hua-Ngu)-zi-Siok-Ngu(Ngi)-Go(Gua))！ 去(ku)俗語詞(siok-ngu-si)臺語歌(台語歌)(Dai-ngi-gua)！,,,,
萱兒,Discord,太好笑了啦！,,,,
Yaling Lin,Kakaotalk,我真的要笑死了 ,,,,
黃餅乾,Skype,看到布袋戲館因為有其他行腳節目拍過就先去吃飯整個笑倒太太太真實啦!!!,,,,
丞賢戴,Microsoft Teams,這笑聲超過100分,,,,
NANCY HUANG,WhatsApp,這集好好笑,,,,
HUANG YAOYAO,Skype,哈哈哈哈哈哈哈！這集真的太好笑啦,,,,
Jessica,Brosix,大牛哥為什麼這麼容易被說服啦笑死,,,,
Chuan Huang,WhatsApp,姑丈太好笑了XDDDDDD好可愛~~,,,,
請勿拍打餵食,Skype,真的很好笑，必須訂閱,,,,
楊翔宇,Tencent QQ,真的覺得小編的笑聲好聊鬱小編笑聲會紅哈哈哈哈哈哈,,,,
小倆口的旅行生活,Snapchat,我不是牛粉。但看了忍不住來定閱按讚啦,,,,
xx X,Snapchat,跟一般的yt不同很好看只是要一點時間多跟一些yt合作拍影片,,,,
Albert Lee,Microsoft Teams,哈~  太好笑了!!!  好開心啊,,,,
郭胖虎,Snapchat,5:20 笑到肚子痛,,,,
Howard Hsu,Viber,天哪 羅時豐變的好年輕,,,,
tommy,Blackberry Messenger,真的會笑死 突然發現怎麼那麼好像的頻道,,,,
林老公馬,Line,怎麼那麼好笑,,,,
潘俊赫,Slack,真希望可以常常看到新的影片,,,,
nkboy1011,WeChat,超好笑的 親民！！,,,,
Jerry Huang,Line,笑聲很魔性,,,,
宏泰窗簾,Kakaotalk,路人推賤來看的真的很好笑,,,,
jhaoheng hu,WhatsApp,真的也太好笑了,,,,
Chun Chun,Messenger,笑聲笑太超過真的會覺很刺耳，姑丈本身滿好笑，笑聲真的不用那麼強烈,,,,
干你屁事Mei,Blackberry Messenger,這個也很好笑,,,,
翔龍霸天,Line,支持大牛哥啦！,,,,
Benson,WhatsApp,你想對【DL.不務正YA】說的話喜歡牛鞭客製化的老人圖，外加「魔性笑聲」！ #國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
劉東盛,Viber,每次都讓我從頭笑到尾，影片太短了啦！,,,,
黃amy,Slack,好好笑,,,,
H C,Discord,笑到快瘋掉,,,,
ndy a,Snapchat,阿牛哥身材不輸小伙子  頭遮住就男神了,,,,
,Discord,旁邊的到底笑爽沒害我跟著一直笑,,,,
